ABT
HON
AEP
BA
BMY
CPB
CAT
CVX
KO
CL
ED
GLW
DE
DTE
D
DWDP
ETN
XOM
F
GD
GE
GT
HAL
HSY
IBM
IP
K
KMB
KR
SPGI
CVS
MRK
ETR
MMM
MSI
NSC
XEL
FE
PPG
SRE
PEP
PFE
EXC
MO
COP
PG
PEG
RTN
ROK
EIX
SO
TXN
UNP
UTX
WY
WHR
XRX
DOW2
OAT.
TKR
OKE
TX.2
ENRNQ
HM
FMC
SHLDQ
MEA.1
NMK
AL.1
INCLF
RDPL
UN
TRW.1
AAL
HBC1
PHA.1
WINN
CR
S.1
UCL
MAY.2
G.1
T.2
GP.1
DAN
MYG.1
NAV
PGL.1
PD
0033A
WWY
UIS
HPC
GM
IR
CBE
WYE
SGP
BRK3
KODK
ITT
CEG
GR
KHC
JCP
BEAM
MWV
AA.3
PBI
BHI
DD
PCG
SHW
TWX.1
CMI
EMR
SLB
TEK.1
AVP
CSX
DAL
BGG
MDP
CLX
GIS
SUN.1
NEM
4622B
MCD
PCH
HLT
OMX
LLY
ACV.1
MDR
BAX
BDX
BC
RSHCQ
JNJ
GPC
HPQ
TNB
LPX
ABI.3
WMB
BCR
KRI
TGNA
IFF
BDK
AXP
CI
JPM
TAP
DIS
DUK
NEE
LNC
BAC
WFC
JPM.Z
AGC.1
SPC.2
JP.1
MEL.3
SAF
BUD.2
CB.1
AET
TGT
INTC
NSM.2
CTX.2
DJ
BMS
TXT
ATI
THC
VFC
WBA
AIG
FLR
FDX
PCAR
NRTLQ
ADP
SFA.1
GWW
MAS
DXC
ADM
H.2
HSH
MAT
WEN.2
BAC2
WMT
SNA
SWK
ROH
BF.B
AAPL
OXY
R
EC.2
CAG
LB
1231B
VZ
T
BLS
Q.2
LOW
PHM
HES
AMD
LMT
RRD
HAS
BLL
KMG.1
KATE
ABS.1
ANDW
NYT
SVU
RDC
APD
NUE
PKI
EP2
NOC
CNP
TJX
DOV
PH
LDG
TRCO
ITW
DLX
JCI
6583B
GPS
JWN
MDT
DDS
HRB
SYY
NSI.1
3UAIRQ
TIN
RBK
UST.1
CA
MMC
PDG
AVY
PLL.1
CPQ.2
HD
PNC
ONE.1
C
STI
GDW
WOR
MIL.2
FNMA
NKE
FBF
ECL
WB.3
KBH
NWL
TMK
CCTYQ
TYC
S
ORCL
ASH
GAS.2
DUK8
AM.1
STJ
ADSK
CZR
CTB
5938B
AZA.1
MRO
X
AEE
