caldt,vwretd,vwretx,ewretd,ewretx,totval,totcnt,usdval,usdcnt,spindx,sprtrn
2001/02/06,-0.001383,-0.001433,0.000528,0.000454,11898560900.00,500,11915632900.00,500,1352.26,-0.001514
2001/02/07,-0.008208,-0.008415,-0.001669,-0.001807,11797158300.00,500,11897271700.00,500,1340.89,-0.008408
2001/02/08,-0.006215,-0.006226,-0.003720,-0.003756,11720783100.00,500,11797158300.00,500,1332.53,-0.006235
2001/02/09,-0.013722,-0.013754,-0.008291,-0.008315,11559619000.00,500,11720783100.00,500,1314.76,-0.013336
2001/02/12,0.012105,0.012090,0.009044,0.008991,11702997500.00,500,11559619000.00,500,1330.31,0.011827
2001/02/13,-0.008527,-0.008614,-0.002075,-0.002170,11602326300.00,500,11702997500.00,500,1318.80,-0.008652
2001/02/14,-0.001943,-0.002131,0.000228,0.000009,11592726800.00,500,11602326300.00,500,1315.92,-0.002184
2001/02/15,0.008388,0.008307,0.009689,0.009581,11692045900.00,500,11592726800.00,500,1326.61,0.008124
2001/02/16,-0.019003,-0.019019,-0.014006,-0.014066,11469771500.00,500,11692045900.00,500,1301.53,-0.018905
2001/02/20,-0.017329,-0.017339,-0.013838,-0.013850,11271180500.00,500,11469771500.00,500,1278.94,-0.017357
2001/02/21,-0.018551,-0.018610,-0.015001,-0.015119,11061426200.00,500,11271180500.00,500,1255.27,-0.018508
2001/02/22,-0.002012,-0.002046,-0.003263,-0.003378,11038798500.00,500,11061426200.00,500,1252.82,-0.001952
2001/02/23,-0.005536,-0.005550,-0.003972,-0.004000,10977465600.00,500,11038798500.00,500,1245.86,-0.005555
2001/02/26,0.017562,0.017509,0.019133,0.019057,11169432000.00,500,10977465600.00,500,1267.65,0.017490
2001/02/27,-0.007641,-0.007717,-0.007700,-0.007929,11065378300.00,500,11151406300.00,500,1257.94,-0.007660
2001/02/28,-0.013917,-0.014082,-0.011031,-0.011189,10939528400.00,500,11065378300.00,500,1239.94,-0.014309
2001/03/01,0.001041,0.001016,0.001630,0.001528,10957039600.00,500,10938234300.00,500,1241.23,0.001040
2001/03/02,-0.005929,-0.005929,0.004007,0.004004,10892051600.00,500,10957039600.00,500,1234.18,-0.005680
2001/03/05,0.006105,0.005954,0.007167,0.007141,10956905800.00,500,10892051600.00,500,1241.41,0.005858
2001/03/06,0.010168,0.010151,0.009803,0.009761,11068126500.00,500,10956905800.00,500,1253.80,0.009981
2001/03/07,0.006646,0.006450,0.009267,0.009020,11139513600.00,500,11068126500.00,500,1261.89,0.006452
2001/03/08,0.002230,0.002197,0.003732,0.003672,11164048700.00,500,11139513600.00,500,1264.74,0.002259
2001/03/09,-0.025011,-0.025016,-0.020366,-0.020382,10884772000.00,500,11164048700.00,500,1233.42,-0.024764
2001/03/12,-0.043332,-0.043338,-0.034662,-0.034671,10413074000.00,500,10884772000.00,500,1180.16,-0.043181
2001/03/13,0.015480,0.015262,0.006269,0.006101,10571993800.00,500,10413074000.00,500,1197.66,0.014829
2001/03/14,-0.025915,-0.025928,-0.023291,-0.023350,10297884700.00,500,10571993800.00,500,1166.71,-0.025842
2001/03/15,0.005693,0.005677,0.001670,0.001621,10356372800.00,500,10297884700.00,500,1173.56,0.005871
2001/03/16,-0.019575,-0.019584,-0.020875,-0.020912,10153697000.00,500,10356372800.00,500,1150.53,-0.019624
2001/03/19,0.017710,0.017691,0.020316,0.020305,10333344500.00,500,10153697000.00,500,1170.81,0.017627
2001/03/20,-0.024259,-0.024277,-0.017255,-0.017327,10082707700.00,500,10333344500.00,500,1142.62,-0.024077
2001/03/21,-0.017817,-0.017856,-0.017457,-0.017503,9902672210.00,500,10082707700.00,500,1122.14,-0.017924
2001/03/22,-0.003781,-0.003799,-0.006548,-0.006589,9865053770.00,500,9902672210.00,500,1117.58,-0.004064
