tickers,Symbol,MarketCap,Sector,Industry
APY,APY,3246768043.4,Technology,Industrial Machinery/Components
ARE,ARE,15320919834.02,Consumer Services,Real Estate Investment Trusts
ARNC,ARNC,9068393745.4,Capital Goods,Metal Fabrications
ASH,ASH,4919935073.58,Consumer Durables,Specialty Chemicals
ASIX,ASIX,983494644.0,Basic Industries,Major Chemicals
ATGE,ATGE,2846242800.0,Consumer Services,Other Consumer Services
ATI,ATI,3643590640.04,Basic Industries,Steel/Iron Ore
ATUS,ATUS,15381809840.61,Consumer Services,Television Services
ATVI,ATVI,32689092759.12,Technology,Computer Software: Prepackaged Software
AVB,AVB,26906718237.0,Consumer Services,Real Estate Investment Trusts
AVGO,AVGO,108037338452.25,Technology,Semiconductors
AVP,AVP,1415764864.0,Consumer Non-Durables,Package Goods/Cosmetics
AVY,AVY,9512981308.08,Consumer Durables,Containers/Packaging
AWK,AWK,18335452143.68,Public Utilities,Water Supply
AXP,AXP,91842848271.9,Finance,Finance: Consumer Services
AYI,AYI,5276964952.36,Consumer Durables,Building Products
AZO,AZO,23423626765.0,Consumer Services,Other Specialty Stores
BA,BA,248943738727.58,Capital Goods,Aerospace
BAC,BAC,283098248682.84,Finance,Major Banks
BAX,BAX,38870897239.68,Health Care,Medical/Dental Instruments
BBBY,BBBY,2294415240.57,Consumer Services,Home Furnishings
BBT,BBT,39557354589.2,Finance,Major Banks
BBY,BBY,18247777393.89,Consumer Services,Consumer Electronics/Video Chains
BC,BC,4664723580.0,Energy,Industrial Machinery/Components
BDX,BDX,68441651716.23,Health Care,Medical/Dental Instruments
BEN,BEN,16645706270.82,Finance,Investment Managers
BGG,BGG,550734328.68,Energy,Industrial Machinery/Components
BHF,BHF,4580235133.92,Finance,Life Insurance
BHGE,BHGE,28086829291.5,Energy,Metal Fabrications
BHI,,,,
BIG,BIG,1259527872.45,Consumer Services,Department/Specialty Retail Stores
BIIB,BIIB,65720404734.4,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BK,BK,50604845940.0,Finance,Major Banks
BKNG,BKNG,79412616770.88,Miscellaneous,Business Services
BLK,BLK,70346485634.19,Finance,Investment Bankers/Brokers/Service
BLL,BLL,18458807881.25,Consumer Durables,Containers/Packaging
BMC,,,,
BMS,BMS,4819910045.44,Consumer Durables,Containers/Packaging
BMY,BMY,86891010173.94,Health Care,Major Pharmaceuticals
BR,BR,11740442159.22,Miscellaneous,Business Services
BSX,BSX,56477948484.5,Health Care,Medical/Dental Instruments
BTU,BTU,3481901000.0,Energy,Coal Mining
BVSN,BVSN,7748688.7,Technology,Computer Software: Prepackaged Software
BWA,BWA,8494959488.9,Capital Goods,Auto Parts:O.E.M.
BXP,BXP,20362261154.74,Consumer Services,Real Estate Investment Trusts
C,C,152697195000.0,Finance,Major Banks
