date,ticker,gicsSector
20090604,ADCT,45
20090604,AAMRQ,20
20090604,AAR,20
20090604,PNW,55
20090604,ABT,35
20090604,AMD,45
20090604,AET,35
20090604,APD,15
20090604,ALK,20
20090604,ACV.1,30
20090604,AYE,55
20090604,HON,20
20090604,SWKS,45
20090604,AA.3,15
20090604,AA.P,15
20090604,HES,10
20090604,BEAM,30
20090604,BEAM.PA,30
20090604,AEP,55
20090604,AEP.PA,55
20090604,AXP,40
20090604,AFL,40
20090604,AM.1,25
20090604,WYE,35
20090604,WYE.P,35
20090604,AIG,40
20090604,AIG.PA,40
20090604,AME,20
20090604,AMGN,35
20090604,ADI,45
20090604,NBR,10
20090604,APA,10
20090604,AAPL,45
20090604,AMAT,45
20090604,ADM,30
20090604,ADM.PA,30
20090604,ASH,15
20090604,GAS,55
20090604,ADSK,45
20090604,ADP,45
20090604,AVY,15
20090604,AVP,30
20090604,BHI,10
20090604,BLL,15
20090604,CEG,55
20090604,CEG.PA,55
20090604,BK,40
20090604,BCR,35
20090604,GOLD,15
20090604,ABX.,15
20090604,BAX,35
20090604,BDX,35
20090604,VZ,50
20090604,BMS,15
20090604,BRK.A,40
20090604,BRK.B,40
20090604,BBY,25
20090604,BDK,25
20090604,HRB,25
20090604,ESV,10
20090604,BA,20
20090604,OMX,25
20090604,RHI,20
20090604,BGG,20
20090604,BMY,35
20090604,BMYMP,35
20090604,BF.B,30
20090604,BF.A,30
20090604,BC,25
20090604,BNI,20
20090604,UIS,45
20090604,CI,35
20090604,CSX,20
20090604,CPB,30
20090604,STZ.B,30
20090604,STZ,30
20090604,CAH,35
20090604,PGN.1,55
20090604,CAT,20
20090604,CTX.2,25
20090604,CTL,50
20090604,JPM,40
20090604,JPM.PI,40
20090604,JPM.PG.1,40
20090604,JPM.PF.,40
20090604,JPM.PE.,40
20090604,CVX,10
20090604,CB.1,40
20090604,CHD,30
20090604,CCTYQ,25
20090604,CTAS,20
20090604,IHRTQ,50
20090604,CLF,15
20090604,CLX,30
20090604,KO,30
20090604,CL,30
20090604,AON,40
20090604,CMCSA,50
20090604,CMCSK,50
20090604,CCZ,50
20090604,CMA,40
20090604,C,40
20090604,C.PI,40
20090604,C.PP,40
20090604,C.PM,40
20090604,CAR,20
20090604,CA,45
20090604,DXC,45
20090604,CAG,30
20090604,ED,55
20090604,CMS,55
20090604,CBE,20
20090604,CTB,25
20090604,COO,35
20090604,TAP,30
20090604,TAP.A,30
20090604,GLW,45
20090604,CR,20
20090604,CMI,20
20090604,DAN,25
20090604,DHR,35
20090604,TGT,25
20090604,DE,20
20090604,DAL,20
20090604,DLX,20
20090604,DTE,55
20090604,ATGE,25
20090604,DDS,25
20090604,DIS,50
20090604,D,55
20090604,RRD,20
20090604,DOV,20
20090604,DWDP,15
20090604,OMC,50
20090604,DD,15
20090604,DD.PA,15
20090604,DD.PB,15
20090604,DUK,55
20090604,DNB,20
20090604,FLS,20
20090604,PKI,35
20090604,EKDKQ,45
20090604,ETN,20
20090604,ECL,15
20090604,EP,10
20090604,EMR,20
20090604,WFT,10
20090604,EFX,20
20090604,EQT,10
20090604,EXPD,20
20090604,XOM,10
20090604,FMC,15
20090604,NEE,55
20090604,FDO,25
20090604,FDX,20
20090604,FNMA,40
20090604,FNMAP,40
20090604,FNMAO,40
20090604,FNMAM,40
20090604,FNMAG,40
20090604,FNMAN,40
20090604,FNMAL,40
20090604,FNMAK,40
20090604,FNMAH,40
20090604,FNMAI,40
20090604,FNMAJ,40
20090604,FNMAS,40
20090604,3FANIP,40
20090604,FNMAT,40
20090604,FRT,60
20090604,M,25
20090604,FITB,40
20090604,FITBP,40
20090604,RF,40
20090604,MTB,40
20090604,USB,40
20090604,USB.PH,40
20090604,USB.PL,40
20090604,FHN,40
20090604,FLR,20
20090604,F,25
20090604,F.PA,25
20090604,FRX,35
20090604,BEN,40
20090604,AJG,40
20090604,TGNA,50
20090604,GPS,25
20090604,GD,20
20090604,GE,20
20090604,GIS,30
20090604,MTLQQ,25
20090604,GPC,25
20090604,GR,20
20090604,GT,25
20090604,GWW,20
20090604,HAL,10
20090604,HRS,20
20090604,HAS,25
20090604,WELL,60
20090604,HCN.PD,60
20090604,HCN.PF,60
20090604,HCN.PG,60
20090604,HNZ,30
20090604,HNZPP,30
20090604,HP,10
20090604,HSY,30
20090604,HPQ,45
20090604,HLNQ,25
20090604,HFC,10
20090604,HD,25
20090604,HRL,30
20090604,HOT,25
20090604,CNP,55
20090604,JBHT,20
20090604,HBAN,40
20090604,HUBSP,40
20090604,ITT,20
20090604,ITW,20
20090604,IR,20
20090604,INTC,45
20090604,IBM,45
20090604,IFF,15
20090604,NAV,20
20090604,NAV.PD,20
20090604,IGT.1,25
20090604,IP,15
20090604,IPG,50
20090604,JEC,20
20090604,JNJ,35
20090604,JCI,20
20090604,JCI.PZ,20
20090604,KLAC,45
20090604,SHLDQ,25
20090604,KSU,20
20090604,KSU.P,20
20090604,EVRG,55
20090604,K,30
20090604,KMB,30
20090604,KR,30
20090604,LSI.1,45
20090604,LRCX,45
20090604,LEG,25
20090604,LM,40
20090604,LMI,40
20090604,LEN,25
20090604,LEN.B,25
20090604,JEF,40
20090604,LLY,35
20090604,LB,25
20090604,LNC,40
20090604,LNC.P,40
20090604,LNC.PG,40
20090604,KATE,25
20090604,LMT,20
20090604,L,40
20090604,RRC,10
20090604,LPX,15
20090604,LOW,25
20090604,MTW,20
20090604,MRO,10
20090604,HST,60
20090604,HST.PE,60
20090604,MMC,40
20090604,MI.1,40
20090604,MAS,20
20090604,MAT,25
20090604,MKC,30
20090604,MKC.V,30
20090604,MDR,10
20090604,MCD,25
20090604,SPGI,40
20090604,MCK,35
20090604,MHS,35
20090604,MDT,35
20090604,CVS,35
20090604,MRK,35
20090604,MDP,50
20090604,MDPEB,50
20090604,MU,45
20090604,ETR,55
20090604,MIL.2,35
20090604,MMM,20
20090604,MOLX,45
20090604,MOLXA,45
20090604,MSI,45
20090604,MUR,10
20090604,MYL,35
20090604,BAC,40
20090604,IKR,40
20090604,BAC.PD,40
20090604,BAC.PE,40
20090604,BAC.PI,40
20090604,BAC.PJ,40
20090604,BAC.PL,40
20090604,BAC.PH,40
20090604,BML.PG,40
20090604,BML.PH,40
20090604,BML.PI,40
20090604,BML.PJ,40
20090604,BML.PL,40
20090604,BML.PN,40
20090604,BML.PO,40
20090604,BML.PQ,40
20090604,NCR,45
20090604,THC,35
20090604,NSM.2,45
20090604,NYT,50
20090604,NYTAB,50
20090604,NWL,25
20090604,NEM,15
20090604,GAS.2,55
20090604,NKE,25
20090604,4764B,25
20090604,NBL,10
20090604,JWN,25
20090604,NSC,20
20090604,ES,55
20090604,NI,55
20090604,XEL,55
20090604,XEL.PA,55
20090604,XEL.PB,55
20090604,XEL.PC,55
20090604,XEL.PD,55
20090604,XEL.PE,55
20090604,XEL.PG,55
20090604,XCJ,55
20090604,NRTLQ,45
20090604,NT.,45
20090604,NTRS,40
20090604,NOC,20
20090604,TEX,20
20090604,WFC,40
20090604,WFC.PJ,40
20090604,WFC.PL,40
20090604,NUE,15
20090604,OXY,10
20090604,FE,55
20090604,OKE,10
20090604,OI,15
20090604,PNC,40
20090604,PNC.PC,40
20090604,PNC.PD,40
20090604,PNC.PL,40
20090604,PPG,15
20090604,PCAR,20
20090604,PCG,55
20090604,SRE,55
20090604,PLL.1,20
20090604,PH,20
20090604,PAYX,45
20090604,JCP,25
20090604,PPL,55
20090604,PNR,20
20090604,PEP,30
20090604,PFE,35
20090604,EXC,55
20090604,PE.PA,55
20090604,PE.PB,55
20090604,PE.PC,55
20090604,PE.PD,55
20090604,MO,30
20090604,COP,10
20090604,PVH,25
20090604,PBI,20
20090604,PBOWN,20
20090604,PCH,60
20090604,POM,55
20090604,PCP,20
20090604,PG,30
20090604,PEG,55
20090604,PHM,25
20090604,STR,55
20090604,RJF,40
20090604,RTN,20
20090604,RTN.WS,20
20090604,AN,25
20090604,ROK,20
20090604,ROL,20
20090604,ROST,25
20090604,RDC,10
20090604,R,20
20090604,SWY,30
20090604,STJ,35
20090604,HSH,30
20090604,SCG,55
20090604,SGP,35
20090604,SLB,10
20090604,SEE,15
20090604,SHW,15
20090604,SIAL,15
20090604,AOS,20
20090604,SII,10
20090604,SJM,30
20090604,SNA,20
20090604,KEY,40
20090604,KEY.PG,40
20090604,EIX,55
20090604,SO,55
20090604,LUV,20
20090604,T,50
20090604,SWN,10
20090604,SWK,20
20090604,STT,40
20090604,PSA,60
20090604,PSA.A,60
20090604,PSA.PV.1,60
20090604,PSA.PW.1,60
20090604,PSA.PX.1,60
20090604,PSA.PZ.1,60
20090604,PSA.PA.1,60
20090604,PSA.PB.1,60
20090604,PSA.PC.1,60
20090604,PSA.PD.1,60
20090604,PSA.PE.1,60
20090604,PSA.PF.2,60
20090604,PSA.PG.1,60
20090604,PSA.PH,60
20090604,PSA.PI,60
20090604,PSA.PK,60
20090604,PSA.PL.,60
20090604,PSA.PM,60
20090604,PSA.PN,60
20090604,SYK,35
20090604,NAVI,40
20090604,7127B,40
20090604,JSM,40
20090604,7128B,40
20090604,SUN.1,10
20090604,STI,40
20090604,STI.PA,40
20090604,SVU,30
20090604,SYY,30
20090604,TE,55
20090604,RSHCQ,25
20090604,ATI,15
20090604,TFX,35
20090604,TLAB,45
20090604,TIN,15
20090604,TER,45
20090604,ANDV,10
20090604,TXN,45
20090604,TXT,20
20090604,TXT.PA,20
20090604,TXT.PB,20
20090604,TMO,35
20090604,TNB,20
20090604,TKR,20
20090604,TMK,40
20090604,TSS,45
20090604,TXA,50
20090604,TYC,20
20090604,TSN,30
20090604,UAL,20
20090604,UN,30
20090604,AEE,55
20090604,UNP,20
20090604,UDR,60
20090604,UDR.PG,60
20090604,UNH,35
20090604,UPS,20
20090604,UTX,20
20090604,S.3,50
20090604,UHS,35
20090604,UHID,35
20090604,VFC,25
20090604,VAR,35
20090604,VNO,60
20090604,VNORP,60
20090604,VNO.PE,60
20090604,VNO.PF,60
20090604,VNO.PG,60
20090604,VNO.PH,60
20090604,VNO.PI,60
20090604,VMC,15
20090604,WMT,30
20090604,WBA,30
20090604,GHC,25
20090604,WDC,45
20090604,MWV,15
20090604,WY,60
20090604,WHR,25
20090604,WMB,10
20090604,WINN,30
20090604,WEC,55
20090604,LNT,55
20090604,TEG,55
20090604,FL,25
20090604,WOR,15
20090604,XRX,45
20090604,TJX,25
20090604,ZION,40
20090604,ZB.PA,40
20090604,ZB.PC,40
20090604,JKHY,45
20090604,BBT,40
20090604,NOVL,45
20090604,APC,10
20090604,NE,10
20090604,EMC,45
20090604,BIG,25
20090604,MS,40
20090604,BEM,40
20090604,ESTX.1,40
20090604,GIT,40
20090604,JAVA,45
20090604,TROW,40
20090604,MSFT,45
20090604,ORCL,45
20090604,DTV.2,25
20090604,LLTC,45
20090604,GENZ,35
20090604,SXCL,10
20090604,HMA,35
20090604,HOG,25
20090604,IT,45
20090604,CVC,50
20090604,ADBE,45
20090604,EHC,35
20090604,CNO,40
20090604,FISV,45
20090604,KBH,25
20090604,UNM,40
20090604,CCEP,30
20090604,HAR,25
20090604,CERN,35
20090604,CMVT,45
20090604,FOX,50
20090604,FOXA,50
20090604,ARG,15
20090604,JOY,20
20090604,SNV,40
20090604,HCP,60
20090604,HCP.PE,60
20090604,HCP.PF,60
20090604,PGR,40
20090604,CDNS,45
20090604,LVLT,50
20090604,CCL,25
20090604,DRE,60
20090604,DRE.PJ,60
20090604,DRE.PK,60
20090604,DRE.PL,60
20090604,DRE.PM,60
20090604,DRE.PN,60
20090604,DRE.PO,60
20090604,MBI,40
20090604,CELG,35
20090604,ABMD,35
20090604,TIF,25
20090604,XRAY,35
20090604,CBS.A,50
20090604,RBV,50
20090604,CBS,50
20090604,SCHW,40
20090604,FAST,20
20090604,MXIM,45
20090604,APH,45
20090604,ALTR.1,45
20090604,PXD,10
20090604,MGM,25
20090604,WM,20
20090604,DELL.1,45
20090604,SSP,50
20090604,FCX,15
20090604,NVLS.1,45
20090604,ODP,25
20090604,BMC,45
20090604,CINF,40
20090604,DVN,10
20090604,LH,35
20090604,FMCC,40
20090604,FMCCI,40
20090604,FMCKK,40
20090604,FMCCH,40
20090604,FMCCG,40
20090604,FMCCK,40
20090604,FMCCL,40
20090604,FMCCM,40
20090604,FMCCP,40
20090604,FMCCJ,40
20090604,FMCCN,40
20090604,FMCCO,40
20090604,FMCKP,40
20090604,FMCCT,40
20090604,FMCKO,40
20090604,FMCKN,40
20090604,FMCCS,40
20090604,FMCKM,40
20090604,FMCKL,40
20090604,FMCKI,40
20090604,FMCKJ,40
20090604,VLO,10
20090604,SIG,25
20090604,SPLS,25
20090604,AGN.2,35
20090604,PCL,40
20090604,SYMC,45
20090604,WAMUQ,40
20090604,WAHUQ,40
20090604,WAMKQ,40
20090604,WAMPQ,40
20090604,PBCT,40
20090604,EOG,10
20090604,EA,50
20090604,SIVB,40
20090604,SOV.PC,40
20090604,PTC,45
20090604,COG,10
20090604,DNR,10
20090604,CSCO,45
20090604,HOLX,35
20090604,XLNX,45
20090604,BJS.1,10
20090604,AZO,25
20090604,REGN,35
20090604,CVH,35
20090604,PMCS,45
20090604,CEPH,35
20090604,X,15
20090604,JNY,25
20090604,IDXX,35
20090604,AES,55
20090604,ABKFQ,40
20090604,AKF,40
20090604,AKT,40
20090604,ABKOQ,40
20090604,MNST,30
20090604,XL,40
20090604,XL.PY,40
20090604,VRTX,35
20090604,MTG,40
20090604,BIIB,35
20090604,KIM,60
20090604,KIM.PF,60
20090604,KIM.PG,60
20090604,PRGO,35
20090604,QCOM,45
20090604,VTSS,45
20090604,GILD,35
20090604,WFM,30
20090604,ROP,20
20090604,SNPS,45
20090604,TWX,25
20090604,MHK,25
20090604,LIN,15
20090604,BSX,35
20090604,KSS,25
20090604,BBBY,25
20090604,DHI,25
20090604,ESRX,35
20090604,SBUX,25
20090604,DYNIQ,55
20090604,MFE,45
20090604,PDCO,35
20090604,CPWR.1,45
20090604,IAC,50
20090604,SITC,60
20090604,DDR.PG,60
20090604,DDR.PH,60
20090604,DDR.PI,60
20090604,CHK,10
20090604,CHK.PD,10
20090604,CHK.PE,10
20090604,AGN,35
20090604,HUM,35
20090604,INTU,45
20090604,MCHP,45
20090604,CB,40
20090604,FOSL,25
20090604,GGP,60
20090604,SANM,45
20090604,ORLY,25
20090604,RCL,25
20090604,JBL,45
20090604,XTO,10
20090604,RIG,10
20090604,ALL,40
20090604,FLIR,45
20090604,PETM,25
20090604,EQR,60
20090604,EQR.PE,60
20090604,EQR.PH,60
20090604,EQR.PN,60
20090604,BWA,25
20090604,GMCR,30
20090604,MAR,25
20090604,COST,30
20090604,REG,60
20090604,REG.PC,60
20090604,REG.PD,60
20090604,REG.PE,60
20090604,INCY,35
20090604,URBN,25
20090604,NFX,10
20090604,VIAV,45
20090604,SPG,60
20090604,SPG.PI,60
20090604,SPG.PJ,60
20090604,EMN,15
20090604,MAA,60
20090604,MAA.PH,60
20090604,MLM,15
20090604,TSCO,25
20090604,ALB,15
20090604,QLGC,45
20090604,IVZ,40
20090604,WRK,15
20090604,MAC,60
20090604,AVB,60
20090604,CPRT,20
20090604,AKS,15
20090604,PLD,60
20090604,PLD.PF,60
20090604,PLD.PG,60
20090604,LEHMQ,40
20090604,LEHCQ,40
20090604,LEHDQ,40
20090604,LEHFQ,40
20090604,LEHGQ,40
20090604,LEHJQ,40
20090604,LEHPQ,40
20090604,NKTR,35
20090604,ESS,60
20090604,AIV,60
20090604,AIV.PG,60
20090604,AIV.PT,60
20090604,AIV.PU,60
20090604,AIV.PV,60
20090604,AIV.PY,60
20090604,ACS,45
20090604,O,60
20090604,O.PD,60
20090604,O.PE,60
20090604,TKPPY,10
20090604,COF,40
20090604,APOL,25
20090604,DLTR,25
20090604,ABC,35
20090604,DRI,25
20090604,RMD,35
20090604,CAM,10
20090604,DISH,50
20090604,SUNEQ,45
20090604,RE,40
20090604,DO,10
20090604,DVA,35
20090604,Q.2,50
20090604,HSIC,35
20090604,SNDK,45
20090604,LXK,45
20090604,EL,30
20090604,WAT,35
20090604,NTAP,45
20090604,CTXS,45
20090604,HIG,40
20090604,ALXN,35
20090604,IRM,60
20090604,SAPE,45
20090604,AABA,25
20090604,DF,30
20090604,TRV,40
20090604,TUP,25
20090604,TIE,15
20090604,ANSS,45
20090604,BVSN,45
20090604,ETFC,40
20090604,SRCL,20
20090604,CPN,55
20090604,ANF,25
20090604,ENDP,35
20090604,RX,35
20090604,NOV,10
20090604,MWW,45
20090604,DGX,35
20090604,CIEN,45
20090604,KMX,25
20090604,TTWO,50
20090604,AMZN,25
20090604,ARE,60
20090604,ARE.PC,60
