date,ticker,gicsIndustry
20170719,AAL,2030
20170719,PNW,5510
20170719,ABT,3510
20170719,AMD,4530
20170719,AET,3510
20170719,APD,1510
20170719,ALK,2030
20170719,HON,2010
20170719,SWKS,4530
20170719,HES,1010
20170719,HES.PA,1010
20170719,AEP,5510
20170719,AXP,4020
20170719,AFL,4030
20170719,AIG,4030
20170719,AIG.WS,4030
20170719,AME,2010
20170719,AMGN,3520
20170719,ADI,4530
20170719,NBR,1010
20170719,APA,1010
20170719,AAPL,4520
20170719,AMAT,4530
20170719,ADM,3020
20170719,ASH,1510
20170719,ADSK,4510
20170719,ADP,4510
20170719,AVY,1510
20170719,AVP,3030
20170719,BLL,1510
20170719,BK,4020
20170719,BK.PC,4020
20170719,BCR,3510
20170719,GOLD,1510
20170719,ABX.,1510
20170719,BAX,3510
20170719,BDX,3510
20170719,BDXA,3510
20170719,VZ,5010
20170719,BMS,1510
20170719,BRK.A,4020
20170719,BRK.B,4020
20170719,BBY,2550
20170719,HRB,2530
20170719,ESV,1010
20170719,BA,2010
20170719,RHI,2020
20170719,BGG,2010
20170719,BMY,3520
20170719,BMYMP,3520
20170719,BF.B,3020
20170719,BF.A,3020
20170719,BC,2520
20170719,UIS,4510
20170719,CI,3510
20170719,CSX,2030
20170719,CPB,3020
20170719,STZ.B,3020
20170719,STZ,3020
20170719,CAH,3510
20170719,CAT,2010
20170719,CTL,5010
20170719,JPM,4010
20170719,JPM.PF,4010
20170719,JPM.WS,4010
20170719,JPM.PD.1,4010
20170719,JPM.PG,4010
20170719,JPM.PA,4010
20170719,JPM.PH,4010
20170719,JPM.PB,4010
20170719,JPM.PE,4010
20170719,CVX,1010
20170719,CHD,3030
20170719,CTAS,2020
20170719,IHRTQ,5020
20170719,CLF,1510
20170719,CLX,3030
20170719,KO,3020
20170719,CL,3030
20170719,AON,4030
20170719,CMCSA,5020
20170719,CCZ,5020
20170719,CMA,4010
20170719,CMA.WS,4010
20170719,C,4010
20170719,C.PP,4010
20170719,CGBBW,4010
20170719,C.WA,4010
20170719,C.PC,4010
20170719,C.PJ,4010
20170719,C.PK,4010
20170719,C.PL,4010
20170719,C.PS,4010
20170719,CAR,2030
20170719,CA,4510
20170719,DXC,4510
20170719,CAG,3020
20170719,ED,5510
20170719,CMS,5510
20170719,CTB,2510
20170719,COO,3510
20170719,TAP,3020
20170719,TAP.A,3020
20170719,GLW,4520
20170719,CR,2010
20170719,CMI,2010
20170719,DAN,2510
20170719,DHR,3510
20170719,TGT,2550
20170719,DE,2010
20170719,DAL,2030
20170719,DLX,2020
20170719,DTE,5510
20170719,DTV,5510
20170719,ATGE,2530
20170719,DDS,2550
20170719,DIS,5020
20170719,DG,2550
20170719,D,5510
20170719,DCUD,5510
20170719,RRD,2020
20170719,DOV,2010
20170719,DWDP,1510
20170719,OMC,5020
20170719,DD,1510
20170719,DD.PA,1510
20170719,DD.PB,1510
20170719,DUK,5510
20170719,DNB,2020
20170719,FLS,2010
20170719,PKI,3520
20170719,KODK,4520
20170719,KODK.WA,4520
20170719,KODK.WS,4520
20170719,ETN,2010
20170719,ECL,1510
20170719,EMR,2010
20170719,WFT,1010
20170719,EFX,2020
20170719,EQT,1010
20170719,EXPD,2030
20170719,XOM,1010
20170719,FMC,1510
20170719,NEE,5510
20170719,NEE.PQ,5510
20170719,NEE.PR,5510
20170719,FDX,2030
20170719,FNMA,4010
20170719,FNMAP,4010
20170719,FNMAO,4010
20170719,FNMAM,4010
