date,ticker,gicsIndustry
20040309,ADCT,4520
20040309,AAMRQ,2030
20040309,AAR,2030
20040309,PNW,5510
20040309,ABT,3510
20040309,AMD,4530
20040309,WCOEQ,5010
20040309,MCIP,5010
20040309,AET,3510
20040309,AEF.3,3510
20040309,APD,1510
20040309,ALK,2030
20040309,ACV.1,3030
20040309,ABS.1,3010
20040309,AL.1,1510
20040309,AL.Z,1510
20040309,AYE,5510
20040309,HON,2010
20040309,AT.2,5010
20040309,AT.P,5010
20040309,SWKS,4530
20040309,AA.3,1510
20040309,AA.P,1510
20040309,HES,1010
20040309,BEAM,3020
20040309,BEAM.PA,3020
20040309,AEP,5510
20040309,AEP.Z,5510
20040309,AXP,4020
20040309,AFL,4030
20040309,AM.1,2520
20040309,WYE,3520
20040309,WYE.P,3520
20040309,AIG,4030
20040309,TT.2,2010
20040309,T.2,5010
20040309,AME,2010
20040309,AMGN,3520
20040309,ASO.1,4010
20040309,ADI,4530
20040309,ANDW,4520
20040309,NBR,1010
20040309,BUD.2,3020
20040309,APA,1010
20040309,AAPL,4520
20040309,AMAT,4530
20040309,ADM,3020
20040309,ASH,1510
20040309,GAS,5510
20040309,ADSK,4510
20040309,ADP,4510
20040309,AVY,1510
20040309,AVP,3030
20040309,BHI,1010
20040309,BLL,1510
20040309,CEG,5510
20040309,ONE.1,4010
20040309,BK,4020
20040309,BCR,3510
20040309,GOLD,1510
20040309,ABX.,1510
20040309,BOL,3510
20040309,BAX,3510
20040309,BDX,3510
20040309,VZ,5010
20040309,BLS,5010
20040309,BMS,1510
20040309,BRK.A,4020
20040309,BRK.B,4020
20040309,BBY,2550
20040309,BMET,3510
20040309,BDK,2520
20040309,HRB,2530
20040309,ESV,1010
20040309,BA,2010
20040309,OMX,2550
20040309,BEP.1,2550
20040309,RHI,2020
20040309,BGG,2010
20040309,BMY,3520
20040309,BMYMP,3520
20040309,BF.B,3020
20040309,BF.A,3020
20040309,BC,2520
20040309,BNI,2030
20040309,UIS,4510
20040309,CI,3510
20040309,CSX,2030
20040309,CPB,3020
20040309,STZ.B,3020
20040309,STZ,3020
20040309,PVN,4020
20040309,CAH,3510
20040309,PGN.1,5510
20040309,CAT,2010
20040309,CTX.2,2520
20040309,CBSS,4010
20040309,CTL,5010
20040309,JPM,4010
20040309,JPM.PH.,4010
20040309,JPM.PF.,4010
20040309,CVX,1010
20040309,CHIR.1,3520
20040309,CB.1,4030
20040309,CB.PB,4030
20040309,CHD,3030
20040309,CCTYQ,2550
20040309,CTAS,2020
20040309,CCU.1,5020
20040309,CLF,1510
20040309,CLX,3030
20040309,KO,3020
20040309,CL,3030
20040309,AON,4030
20040309,CMCSA,5020
20040309,CMCSK,5020
20040309,CCZ,5020
20040309,CMA,4010
20040309,C,4010
20040309,C.PF.,4010
20040309,CPM.1,4010
20040309,C.PH.1,4010
20040309,C.PG.,4010
20040309,CAR,2030
20040309,CA,4510
20040309,DXC,4510
20040309,CAG,3020
20040309,ED,5510
20040309,EPB.2,5510
20040309,CMS,5510
20040309,CEN.2,4510
20040309,CBE,2010
20040309,CTB,2510
20040309,COO,3510
20040309,TAP,3020
20040309,GLW,4520
20040309,CFC.3,4010
20040309,CR,2010
20040309,CMI,2010
20040309,DCNAQ,2510
20040309,DHR,3510
20040309,TGT,2550
20040309,DE,2010
20040309,DALRQ,2030
20040309,DLX,2020
20040309,DTE,5510
20040309,DTE.PB,5510
20040309,ATGE,2530
20040309,DDS,2550
20040309,DIS,5020
20040309,DG.1,2550
20040309,D,5510
20040309,RRD,2020
20040309,RRD.2,2020
20040309,DOV,2010
20040309,DWDP,1510
20040309,DJ,2540
20040309,DOWJB,2540
20040309,OMC,5020
20040309,DD,1510
20040309,DD.PA,1510
20040309,DD.PB,1510
20040309,DUK,5510
20040309,DUK.PA,5510
20040309,DNB,2020
20040309,FLS,2010
20040309,PKI,3520
20040309,EKDKQ,4520
20040309,ETN,2010
20040309,ECL,1510
20040309,EP,1010
20040309,EMR,2010
20040309,WFT,1010
20040309,EC.2,1510
20040309,EFX,2020
20040309,EQT,1010
20040309,EXPD,2030
20040309,XOM,1010
20040309,FMC,1510
20040309,NEE,5510
20040309,FDO,2550
20040309,FDX,2030
20040309,FNMA,4010
20040309,FNMAP,4010
20040309,FNMAO,4010
20040309,FNMAM,4010
20040309,FNMAG,4010
20040309,FNM.PJ,4010
20040309,FNM.PK,4010
20040309,FNMAN,4010
20040309,FNMAL,4010
20040309,FNMAK,4010
20040309,FRT,6010
20040309,FRT.PB,6010
20040309,M,2550
20040309,FITB,4010
20040309,RF,4010
20040309,MTB,4010
20040309,USB,4010
20040309,FHN,4010
20040309,WB.3,4010
20040309,FBF,4010
20040309,FLR,2010
20040309,F,2510
20040309,F.PA,2510
20040309,FRX,3520
20040309,BEN,4020
20040309,AJG,4030
20040309,TGNA,5020
20040309,GPS,2550
20040309,GD,2010
20040309,GE,2010
20040309,GIS,3020
20040309,MTLQQ,2510
20040309,GM.1,2510
20040309,XGM,2510
20040309,HGM,2510
20040309,BGM.1,2510
20040309,EDS.,4510
20040309,EDS.PI,4510
20040309,GPC,2550
20040309,GP.1,1510
20040309,G.1,3030
20040309,GDW,4010
20040309,GR,2010
20040309,GT,2510
20040309,GWW,2010
20040309,GLK.1,1510
20040309,HAL,1010
20040309,HRS,2010
20040309,HAS,2520
20040309,WELL,6010
20040309,HCN.PD,6010
20040309,HNZ,3020
20040309,HNZPP,3020
20040309,HP,1010
20040309,HPC,1510
20040309,HSY,3020
20040309,HPQ,4520
20040309,HLT.1,2530
20040309,HLNQ,2530
20040309,HFC,1010
20040309,HD,2550
20040309,HRL,3020
20040309,HOT,2530
20040309,CNP,5510
20040309,JBHT,2030
20040309,HBAN,4010
20040309,ITT,2010
20040309,ITW,2010
20040309,INCLF,1510
20040309,N.1,1510
20040309,NWG.1,1510
20040309,IR,2010
20040309,INTC,4530
20040309,IBM,4510
20040309,IFF,1510
20040309,NAV,2010
20040309,NAV.PD,2010
20040309,IGT.1,2530
20040309,IP,1510
20040309,ENRNQ,5510
20040309,IPG,5020
20040309,JEC,2010
20040309,JP.1,4030
20040309,JNJ,3520
20040309,JCI,2010
20040309,KLAC,4530
20040309,SHLDQ,2550
20040309,KMI.1,1010
20040309,KSU,2030
20040309,KSU.P,2030
20040309,EVRG,5510
20040309,K,3020
20040309,KMG.1,1010
20040309,KMB,3030
20040309,KRI,2540
20040309,KR,3010
20040309,LSI.1,4530
20040309,LRCX,4530
20040309,LEG,2520
20040309,LM,4020
20040309,LEN,2520
20040309,LEN.B,2520
20040309,JEF,4020
20040309,LLY,3520
20040309,LB,2550
20040309,LNC,4030
20040309,LNC.P,4030
20040309,KATE,2520
20040309,LMT,2010
20040309,L,4030
20040309,RRC,1010
20040309,KSE,5510
20040309,LDG,3010
20040309,LPX,1510
20040309,LOW,2550
20040309,MTW,2010
20040309,MRO,1010
20040309,HST,6010
20040309,HST.PC,6010
20040309,MMC,4030
20040309,MI.1,4010
20040309,MAS,2010
20040309,MAT,2520
20040309,MAY.2,2550
20040309,MYG.1,2520
20040309,MPY,2520
20040309,MKC,3020
20040309,MKC.V,3020
20040309,MDR,1010
20040309,MCD,2530
20040309,SPGI,4020
20040309,MCK,3510
20040309,MHS,3510
20040309,MDT,3510
20040309,MEL.3,4020
20040309,CVS,3510
20040309,MRK,3520
20040309,MDP,5020
20040309,MDPEB,5020
20040309,MER,4020
20040309,IEM,4020
20040309,MTT..,4020
20040309,EFM.1,4020
20040309,ESM.4,4020
20040309,CSM.2,4020
20040309,FML..,4020
20040309,EUM.1,4020
20040309,GWM,4020
20040309,MDJ.,4020
20040309,RSM.1,4020
20040309,MPF.,4020
20040309,NKM.1,4020
20040309,ESY.,4020
20040309,IHM,4020
20040309,MLJ,4020
20040309,BHM,4020
20040309,MNM.1,4020
20040309,BDM.,4020
20040309,MU,4530
20040309,ETR,5510
20040309,MIL.2,3520
20040309,MMM,2010
20040309,MOLX,4520
20040309,MOLXA,4520
20040309,MSI,4520
20040309,MEU.1,4520
20040309,MUR,1010
20040309,MYL,3520
20040309,BAC,4010
20040309,BML.PN,4010
20040309,NCR,4520
20040309,NCC,4010
20040309,THC,3510
20040309,NSM.2,4530
20040309,NYT,5020
20040309,NWL,2520
20040309,NEM,1510
20040309,GAS.2,5510
20040309,NKE,2520
20040309,NBL,1010
20040309,JWN,2550
20040309,NSC,2030
20040309,ES,5510
20040309,NI,5510
20040309,NSE.2,5510
20040309,XEL,5510
