date,ticker,gicsSector
20081208,ADCT,45
20081208,AAMRQ,20
20081208,AAR,20
20081208,PNW,55
20081208,ABT,35
20081208,AMD,45
20081208,AET,35
20081208,APD,15
20081208,ALK,20
20081208,ACV.1,30
20081208,AYE,55
20081208,HON,20
20081208,SWKS,45
20081208,AA.3,15
20081208,AA.P,15
20081208,HES,10
20081208,BEAM,30
20081208,BEAM.PA,30
20081208,AEP,55
20081208,AEP.PA,55
20081208,AXP,40
20081208,AFL,40
20081208,AM.1,25
20081208,WYE,35
20081208,WYE.P,35
20081208,AIG,40
20081208,AIG.PA,40
20081208,AME,20
20081208,AMGN,35
20081208,ADI,45
20081208,NBR,10
20081208,APA,10
20081208,AAPL,45
20081208,AMAT,45
20081208,ADM,30
20081208,ADM.PA,30
20081208,ASH,15
20081208,GAS,55
20081208,ADSK,45
20081208,ADP,45
20081208,AVY,15
20081208,AVP,30
20081208,BHI,10
20081208,BLL,15
20081208,CEG,55
20081208,CEG.PA,55
20081208,BK,40
20081208,BCR,35
20081208,GOLD,15
20081208,ABX.,15
20081208,BAX,35
20081208,BDX,35
20081208,VZ,50
20081208,BMS,15
20081208,BRK.A,40
20081208,BRK.B,40
20081208,BBY,25
20081208,BDK,25
20081208,HRB,25
20081208,ESV,10
20081208,BA,20
20081208,OMX,25
20081208,RHI,20
20081208,BGG,20
20081208,BMY,35
20081208,BMYMP,35
20081208,BF.B,30
20081208,BF.A,30
20081208,BC,25
20081208,BNI,20
20081208,UIS,45
20081208,CI,35
20081208,CSX,20
20081208,CPB,30
20081208,STZ.B,30
20081208,STZ,30
20081208,CAH,35
20081208,PGN.1,55
20081208,CAT,20
20081208,CTX.2,25
20081208,CTL,50
20081208,JPM,40
20081208,JPM.PI,40
20081208,JPM.PG.1,40
20081208,JPM.PF.,40
20081208,JPM.PE.,40
20081208,CVX,10
20081208,CB.1,40
20081208,CHD,30
20081208,CCTYQ,25
20081208,CTAS,20
20081208,IHRTQ,50
20081208,CLF,15
20081208,CLX,30
20081208,KO,30
20081208,CL,30
20081208,AON,40
20081208,CMCSA,50
20081208,CMCSK,50
20081208,CCZ,50
20081208,CMA,40
20081208,C,40
20081208,C.PI,40
20081208,C.PP,40
20081208,C.PM,40
20081208,CAR,20
20081208,CA,45
20081208,DXC,45
20081208,CAG,30
20081208,ED,55
20081208,CMS,55
20081208,CBE,20
20081208,CTB,25
20081208,COO,35
20081208,TAP,30
20081208,TAP.Z.,30
20081208,TAP.A,30
20081208,TAP.Z,30
20081208,GLW,45
20081208,CR,20
20081208,CMI,20
20081208,DAN,25
20081208,DHR,35
20081208,TGT,25
20081208,DE,20
20081208,DAL,20
20081208,DLX,20
20081208,DTE,55
20081208,ATGE,25
20081208,DDS,25
20081208,DIS,50
20081208,D,55
20081208,RRD,20
20081208,DOV,20
20081208,DWDP,15
20081208,OMC,50
20081208,DD,15
20081208,DD.PA,15
20081208,DD.PB,15
20081208,DUK,55
20081208,DNB,20
20081208,FLS,20
20081208,PKI,35
20081208,EKDKQ,45
20081208,ETN,20
20081208,ECL,15
20081208,EP,10
20081208,EMR,20
20081208,WFT,10
20081208,EFX,20
20081208,EQT,10
20081208,EXPD,20
20081208,XOM,10
20081208,FMC,15
20081208,NEE,55
20081208,FDO,25
20081208,FDX,20
20081208,FNMA,40
20081208,FNMAP,40
20081208,FNMAO,40
20081208,FNMAM,40
20081208,FNMAG,40
20081208,FNMAN,40
20081208,FNMAL,40
20081208,FNMAK,40
20081208,FNMAH,40
20081208,FNMAI,40
20081208,FNMAJ,40
20081208,FNMAS,40
20081208,3FANIP,40
20081208,FNMAT,40
20081208,FRT,60
20081208,M,25
20081208,FITB,40
20081208,FITBP,40
20081208,RF,40
20081208,MTB,40
20081208,USB,40
20081208,USB.PH,40
20081208,USB.PL,40
20081208,FHN,40
20081208,WB.3,40
20081208,FLR,20
20081208,F,25
20081208,F.PA,25
20081208,FRX,35
20081208,BEN,40
20081208,AJG,40
20081208,TGNA,50
20081208,GPS,25
20081208,GD,20
20081208,GE,20
20081208,GIS,30
20081208,MTLQQ,25
20081208,XGM,25
20081208,HGM,25
20081208,BGM.1,25
20081208,GMS.1,25
20081208,GPC,25
20081208,GR,20
20081208,GT,25
20081208,GWW,20
20081208,HAL,10
20081208,HRS,20
20081208,HAS,25
20081208,WELL,60
20081208,HCN.PD,60
20081208,HCN.PF,60
20081208,HCN.PG,60
20081208,HNZ,30
20081208,HNZPP,30
20081208,HP,10
20081208,HSY,30
20081208,HPQ,45
20081208,HLNQ,25
20081208,HFC,10
20081208,HD,25
20081208,HRL,30
20081208,HOT,25
20081208,CNP,55
20081208,JBHT,20
20081208,HBAN,40
20081208,HUBSP,40
20081208,ITT,20
20081208,ITW,20
20081208,IR,20
20081208,INTC,45
20081208,IBM,45
20081208,IFF,15
20081208,NAV,20
20081208,NAV.PD,20
20081208,IGT.1,25
20081208,IP,15
20081208,IPG,50
20081208,JEC,20
20081208,JNJ,35
