date,ticker,dailySpread
20090519,EBAY,0.00111982
20090519,EBIX,0.00191168
20090519,ECL,0.00136855
20090519,ED,0.00028389
20090519,EFX,0.00069638
20090519,EIX,0.00034370
20090519,EL,0.00151538
20090519,EMC,0.00082001
20090519,EMN,0.00048356
20090519,EMR,0.00058685
20090519,ENDP,0.00121877
20090519,EOG,0.00097337
20090519,EP,0.00109111
20090519,EQIX,0.00101354
20090519,EQR,0.00042762
20090519,EQT,0.00215459
20090519,ERTS,0.00090580
20090519,ES,0.00248447
20090519,ESRX,0.00117145
20090519,ESS,0.00015702
20090519,ESV,0.00029529
20090519,ETFC,0.00634921
20090519,ETN,0.00021577
20090519,ETR,0.00093627
20090519,EW,0.00078217
20090519,EXC,0.00063620
20090519,EXPD,0.00090266
20090519,EXPE,0.00132979
20090519,EXR,0.00000000
20090519,F,0.00177148
20090519,FAST,0.00149187
20090519,FCX,
20090519,FDO,0.00032305
20090519,FDX,0.00073327
20090519,FE,0.00428610
20090519,FFIV,0.00035556
20090519,FHN,0.00089166
20090519,FII,0.00043131
20090519,FIS,0.00053234
20090519,FISV,0.00073162
20090519,FITB,0.00127959
20090519,FL,0.00091870
20090519,FLIR,0.00156986
20090519,FLR,0.00155262
20090519,FLS,0.00099242
20090519,FMC,0.00199521
20090519,FO,0.00244865
20090519,FOH,0.04958678
20090519,FOSL,0.00182732
20090519,FPL,0.00017942
20090519,FRT,0.00038971
20090519,FRX,0.00000000
20090519,FSLR,0.00306214
20090519,FTI,0.00308166
20090519,FTR,0.00136147
20090519,GCI,0.00219058
20090519,GD,0.00035162
20090519,GE,0.00146199
20090519,GENZ,0.00033681
20090519,GFI,0.00080548
20090519,GHC,0.00208768
20090519,GILD,0.00023427
20090519,GIS,0.00057565
20090519,GLBC,0.00233645
20090519,GLW,0.00140746
20090519,GM,0.00790514
20090519,GME,0.00155219
20090519,GNW,0.00181984
20090519,GOLD,0.00079840
20090519,GOOG,0.00005014
20090519,GPC,0.00270068
20090519,GPN,0.00031061
20090519,GPS,0.00125392
20090519,GR,0.00262697
20090519,GRMN,0.00049665
20090519,GS,0.00049454
20090519,GT,0.00162734
20090519,GWW,0.00101549
20090519,HAL,0.00136830
20090519,HANS,0.00144578
20090519,HAR,0.00286123
20090519,HAS,0.00333195
20090519,HBAN,0.00216216
20090519,HBI,0.00061709
20090519,HCBK,0.00160385
20090519,HCP,0.00045527
20090519,HD,0.00000000
20090519,HES,0.00032368
20090519,HIG,0.00062247
20090519,HLS,0.00086919
20090519,HMA,0.00000000
20090519,HOC,0.00120797
20090519,HOG,0.00055294
20090519,HOLX,0.00251995
20090519,HON,0.00030216
20090519,HOT,0.00093633
20090519,HP,0.00030680
20090519,HPQ,0.00027281
20090519,HRB,0.00070796
20090519,HRL,0.00603500
20090519,HRS,0.00096821
20090519,HSIC,0.00044267
20090519,HSP,0.00149098
20090519,HST,0.00000000
20090519,HSY,0.00195941
20090519,HUM,0.00032139
20090519,IACI,0.00065381
20090519,IBM,
20090519,ICE,0.00000000
20090519,IDXX,0.00071865
20090519,IFF,0.00032632
