date,ticker,avgSpread30Days
20071031,PRSP,0.00127830
20071031,LRCX,0.00102691
20071031,HST,0.00130214
20071031,INTU,0.00063148
20071031,MTG,0.00135188
20071031,FCX,0.00074347
20071031,WPO,0.00151516
20071031,CTSH,0.00073275
20071031,CVS,0.00050739
20071031,HCR,0.00052853
20071031,TSN,0.00110148
20071031,ROL,0.00124456
20071031,LM,0.00069668
20071031,PCS,0.00166983
20071031,IPG,
20071031,WY,0.00092843
20071031,AA,0.00068058
20071031,GPS,0.00075371
20071031,BIG,0.00192875
20071031,ATI,0.00103426
20071031,COO,0.00077987
20071031,PLI,0.02340223
20071031,APY,0.03204911
20071031,EXC,0.00110093
20071031,STR,0.00268131
20071031,HLS,0.00218879
20071031,CSX,0.00147353
20071031,EMR,0.00061029
20071031,SBAC,0.00104905
20071031,ESS,0.00170348
20071031,CXO,0.00273794
20071031,BSX,0.00172246
20071031,IACI,0.00074838
20071031,GS,0.00060501
20071031,MXM,0.01282162
20071031,NYT,0.00124085
20071031,JCP,0.00168284
20071031,TKR,0.00163449
20071031,AN,0.00144915
20071031,WPI,0.00279114
20071031,DRI,0.00095976
20071031,VZ,0.00085049
20071031,CCI,0.00171470
20071031,GFI,0.00148043
20071031,FTI,0.00171977
20071031,GIS,0.00276734
20071031,GGP,0.00117020
20071031,ACN,0.00164477
20071031,TLAB,0.00134554
20071031,,
20071031,CINF,0.00072109
20071031,IBM,0.00093812
20071031,JNS,0.00132364
20071031,ANET,0.00138600
20071031,RE,0.00097781
20071031,SIVB,0.00086750
20071031,CTB,
20071031,STX,0.00107197
20071031,HOLX,0.00080004
20071031,CVX,
20071031,WHR,0.00128189
20071031,CAG,0.00090425
20071031,ANDW,0.00089514
20071031,ENDP,0.00098650
20071031,RCL,0.00149375
20071031,TSS,0.00129804
20071031,ULTA,
20071031,COL,0.00086960
20071031,LMT,0.00113792
20071031,EBAY,0.00061344
20071031,PKG,0.00097883
20071031,TIF,0.00095780
20071031,XTO,0.00171665
20071031,ITG,0.00179225
20071031,GNW,0.00140571
20071031,CR,0.00086167
20071031,CNX,0.00195384
20071031,DLTR,0.00089908
20071031,STI,0.00067373
20071031,MUR,0.00110063
20071031,ROH,0.00079777
20071031,XRX,0.00098980
20071031,NKTR,
20071031,ACE,0.00137445
20071031,SIAL,0.00071192
20071031,SAI,0.00151206
20071031,EMC,0.00072684
20071031,WIN,0.00272680
20071031,UNM,0.00116748
20071031,MAA,0.00352835
20071031,FFIV,0.00100743
20071031,SWK,
20071031,WFMI,0.00067599
20071031,MTB,0.00090707
20071031,IFF,0.00114787
20071031,SNV,0.00148890
20071031,LPX,0.00137600
20071031,BBT,0.00280084
20071031,AIV,0.00199975
20071031,BGG,0.00157938
20071031,ESV,0.00181849
20071031,NEM,0.00134855
20071031,AVY,0.00053551
20071031,AMZN,
20071031,SPG,0.00181425
20071031,GPC,0.00123172
20071031,AMP,0.00164698
20071031,LVLT,0.00254446
20071031,TXT,0.00161019
20071031,COF,0.00091958
20071031,CMI,0.00110710
20071031,DOV,0.00307825
20071031,AMGN,0.00044729
20071031,JOYG,0.00105471
20071031,HAS,0.00271785
20071031,CHTR,0.00404955
20071031,BAX,0.00099897
20071031,MBI,0.00151362
20071031,LEE,0.00235579
20071031,ABC,0.00155721
20071031,CMG,0.00211710
20071031,FITB,0.00063220
20071031,MO,0.00040277
20071031,SVU,0.00178565
20071031,AXP,0.00072418
20071031,TROW,0.00069469
20071031,GME,0.00103409
20071031,CAM,0.00166903
20071031,RIG,0.00109845
20071031,EOG,0.00291680
20071031,PFE,0.00070142
20071031,ANSS,0.00122761
20071031,ADPT,0.00346122
20071031,AOS,0.00196297
20071031,RFMD,0.00154481
20071031,SSP,0.00090685
20071031,FDO,0.00094053
20071031,XRAY,0.00103607
20071031,UPS,0.00153451
20071031,OMC,0.00080715
20071031,PCLN,0.00088082
20071031,SYY,0.00064382
20071031,STZ,0.00095164
20071031,SAF,0.00281521
20071031,BBY,0.00056122
20071031,KO,0.00039426
20071031,KMX,0.00120409
20071031,AIG,0.00058290
20071031,AET,0.00185354
20071031,SNA,0.00077850
20071031,HSY,0.00062829
20071031,NUE,0.00113975
20071031,MMM,0.00036165
20071031,AAPL,
20071031,CAT,0.00037028
20071031,PHM,0.00226910
20071031,ICE,0.00099991
20071031,PCP,0.00111876
20071031,IT,0.00202106
20071031,CIK,0.00532319
20071031,CCL,
20071031,BAC,0.00057915
20071031,FLS,0.00088740
20071031,WFT,0.00188613
20071031,CMCSA,0.00064929
20071031,VFC,0.00076235
20071031,SNDK,0.00062780
20071031,ISRG,0.00102418
20071031,MCK,0.00061883
20071031,MWP,0.00365806
20071031,FPL,0.00082931
20071031,HSP,0.00067431
20071031,PBG,0.00086003
20071031,CMS,0.00138152
20071031,CPRT,0.00083035
20071031,LB,0.01064282
20071031,EFX,0.00079889
20071031,ARE,0.00154630
20071031,PNC,0.00116786
20071031,LEG,0.00151134
20071031,WM,0.00073757
20071031,NWS,0.00458659
20071031,INCY,0.00196197
20071031,HCP,0.00218899
20071031,CL,0.00057757
20071031,CHP,0.00587730
20071031,CBS,0.00085694
20071031,LNC,0.00096298
20071031,MAR,0.00144946
20071031,NCR,0.00130123
20071031,RLH,0.00610612
20071031,FRT,0.00140024
20071031,CE,0.00096417
20071031,DO,0.00102029
20071031,AMSG,0.00149687
20071031,MKC,0.00123891
20071031,VTR,0.00251479
20071031,JEF,0.00501497
20071031,LOW,0.00064901
20071031,MWV,0.00268472
20071031,HUM,0.00067735
20071031,MS,0.00051143
20071031,CHD,0.00138002
20071031,NFX,0.00067939
20071031,NWL,0.00090709
20071031,MAC,0.00255462
20071031,LXK,0.00143740
20071031,APC,0.00085924
20071031,HPQ,0.00042243
20071031,IDXX,0.00125207
20071031,SLG,0.00264207
20071031,TYC,0.00087171
20071031,SRE,0.00094662
20071031,OXY,0.00109900
20071031,PLL,0.00116662
20071031,JNJ,0.00030607
20071031,PEP,0.00067470
20071031,WFC,0.00074894
20071031,NYX,
20071031,TAP,0.00084292
20071031,WMT,0.00043804
20071031,F,0.00155312
20071031,JNY,0.00114052
20071031,INTC,0.00060262
20071031,ERTS,0.00056863
20071031,MU,0.00110807
20071031,UDR,0.00247516
20071031,D,0.00198956
20071031,HRS,0.00081136
20071031,DV,0.00137123
20071031,ALXN,
20071031,HON,0.00055986
20071031,SEE,0.00086636
20071031,GOOG,0.00048952
20071031,CIT,0.00113624
20071031,PMCS,0.00131040
20071031,FL,0.00162417
20071031,ORLY,0.00097507
20071031,PPG,0.00162418
20071031,CTXS,0.00067570
20071031,BMC,0.00143396
20071031,WINN,0.00133026
20071031,WLP,0.00069613
20071031,FE,0.00224144
20071031,ADBE,0.00043379
20071031,BC,0.00329052
20071031,ADCT,0.00098130
20071031,DVA,0.00100511
20071031,MDP,0.00142780
