date,ticker,adv30Days
20030929,KMB,1501423.33333333
20030929,HLT,2083260.00000000
20030929,PRGO,409288.16666667
20030929,LLTC,5759936.80000000
20030929,DAL,2449060.00000000
20030929,EQT,277060.00000000
20030929,APC,2289083.33333333
20030929,MDT,3482556.66666667
20030929,ETS,2652293.33333333
20030929,PWER,539295.43333333
20030929,ALK,378893.33333333
20030929,KSU,497386.66666667
20030929,MTW,142543.33333333
20030929,AMZN,9282378.50000000
20030929,AMCC,7059638.20000000
20030929,AYI,128426.66666667
20030929,MYL,1488430.00000000
20030929,MWV,685390.00000000
20030929,PMTC,1859378.23333333
20030929,CNX,370116.66666667
20030929,UN,462470.00000000
20030929,CHP,163323.33333333
20030929,HRS,379413.33333333
20030929,ABT,3888076.66666667
20030929,AKS,1565326.66666667
20030929,RBK,815453.33333333
20030929,ALXN,206703.33333333
20030929,MAT,2198510.00000000
20030929,CMA,845876.66666667
20030929,VC,1130516.66666667
20030929,CL,1637773.33333333
20030929,K,916573.33333333
20030929,GRMN,375962.33333333
20030929,DUK,3685580.00000000
20030929,EFX,576583.33333333
20030929,ABMD,151742.36666667
20030929,WEH,6140.00000000
20030929,WPO,16657.76666667
20030929,GFI,2052913.33333333
20030929,AMR,5591503.33333333
20030929,PKI,675816.66666667
20030929,MGM,500306.66666667
20030929,ETN,592170.00000000
20030929,PBCT,55150.20000000
20030929,BLK,97276.66666667
20030929,DE,1625360.00000000
20030929,STJ,1442723.33333333
20030929,KIM,306490.00000000
20030929,T,4217820.00000000
20030929,INCY,1183457.56666667
20030929,NX,73490.00000000
20030929,IBM,7329396.66666667
20030929,CSCO,53521730.40000000
20030929,UNH,2400053.33333333
20030929,AIV,330033.33333333
20030929,SNV,695380.00000000
20030929,GD,1121016.66666667
20030929,SWKS,3692562.76666667
20030929,EOG,832963.33333333
20030929,ETR,986326.66666667
20030929,CAP,2713.33333333
20030929,CAT,2717993.33333333
20030929,TFX,160333.33333333
20030929,CTAS,986089.33333333
20030929,CSX,919463.33333333
20030929,HMA,1582046.66666667
20030929,RCL,1201653.33333333
20030929,COST,6122590.73333333
20030929,RDC,1275470.00000000
20030929,RIG,2890896.66666667
20030929,VTSS,5508831.96666667
20030929,ITT,613566.66666667
20030929,NET,2203913.33333333
20030929,IPG,2740790.00000000
20030929,CLF,73560.00000000
20030929,FTN,906426.66666667
20030929,SIVB,611057.26666667
20030929,KR,3249720.00000000
20030929,TGT,3963203.33333333
20030929,MWP,16700.00000000
20030929,PHM,628676.66666667
20030929,AMB,339473.33333333
20030929,XEL,1085733.33333333
20030929,MCHP,2939155.40000000
20030929,AW,1006553.33333333
20030929,NBL,293510.00000000
20030929,PRSP,24639.90000000
20030929,FDC,4930943.33333333
20030929,HPC,486770.00000000
20030929,NKE,1352680.00000000
20030929,LFIN,202615.00000000
20030929,SAFC,621629.96666667
20030929,TKR,870463.33333333
20030929,AGN,576413.33333333
20030929,GPS,6789110.00000000
20030929,COL,545073.33333333
20030929,TIN,413483.33333333
20030929,TXT,664506.66666667
20030929,BLS,4615660.00000000
20030929,ADI,3260510.00000000
20030929,LEN,1303653.33333333
20030929,GR,765986.66666667
20030929,JBHT,656485.26666667
20030929,OMX,1031553.33333333
20030929,JKHY,399577.43333333
20030929,TPR,13743.33333333
20030929,FL,913486.66666667
20030929,DDR,281043.33333333
20030929,CHK,2079003.33333333
20030929,PFE,21299286.66666667
20030929,IKN,807066.66666667
20030929,TLAB,5119247.23333333
20030929,CPN,6085416.66666667
20030929,KSE,431830.00000000
20030929,NCC,1809870.00000000
20030929,MAC,175166.66666667
20030929,NSC,1610700.00000000
20030929,DIS,9336130.00000000
20030929,CNO,1123320.00000000
20030929,APD,970516.66666667
20030929,CDN,2915816.66666667
