date,ticker,adv30Days
20170214,TSCO,1667145.26666667
20170214,EQR,2305953.76666667
20170214,DNR,6685949.90000000
20170214,MAS,3413509.70000000
20170214,WMIH,476610.56666667
20170214,ZBH,1461094.06666667
20170214,AIV,957881.03333333
20170214,NGVT,221937.50000000
20170214,MRK,12000721.50000000
20170214,LPX,1683735.33333333
20170214,BMY,15387038.26666667
20170214,CNX,3554260.06666667
20170214,C,19932170.30000000
20170214,CMS,1779009.70000000
20170214,ASIX,283216.76666667
20170214,AIG,5255782.56666667
20170214,ETR,1271343.03333333
20170214,PLD,2862788.06666667
20170214,BEN,2465794.23333333
20170214,VIAB,4699363.33333333
20170214,NEM,6861290.83333333
20170214,FHN,2310843.26666667
20170214,CSCO,20421405.43333333
20170214,FL,1589449.33333333
20170214,ALLE,878816.76666667
20170214,MO,6620782.43333333
20170214,LM,1789259.50000000
20170214,SO,4150494.63333333
20170214,R,692330.73333333
20170214,UAL,3521514.83333333
20170214,TTWO,1315296.46666667
20170214,ABT,9794183.83333333
20170214,CA,2914756.93333333
20170214,GILD,12307668.70000000
20170214,SVU,4999556.93333333
20170214,F,39872664.56666667
20170214,BC,976513.36666667
20170214,LMT,1355426.36666667
20170214,PB,390024.46666667
20170214,KMI,12359473.06666667
20170214,GM,15469597.23333333
20170214,JBHT,956943.60000000
20170214,COL,1249610.13333333
20170214,RJF,665960.13333333
20170214,SCHW,7835612.00000000
20170214,LB,3045616.70000000
20170214,COST,2139430.00000000
20170214,QEP,2910667.66666667
20170214,PAR,25449.60000000
20170214,NOC,1087266.03333333
20170214,MPC,5871745.03333333
20170214,PRGO,1824158.76666667
20170214,MAC,1027550.13333333
20170214,BHI,2607681.30000000
20170214,SYF,5853046.16666667
20170214,TMUS,5512549.43333333
20170214,PEP,4056567.60000000
20170214,UNM,1203023.83333333
20170214,JNPR,4064352.60000000
20170214,UN,1926904.76666667
20170214,MAT,6721214.73333333
20170214,DISH,2580318.40000000
20170214,DD,2417001.56666667
20170214,NI,2661119.13333333
20170214,GGP,4293067.23333333
20170214,IBM,3960637.46666667
20170214,LLTC,1298532.93333333
20170214,XOM,12233582.30000000
20170214,ANSS,409929.46666667
20170214,HRB,1937653.56666667
20170214,TSO,2850410.50000000
20170214,HPQ,12862256.63333333
20170214,COP,6454636.30000000
20170214,CPN,4708495.00000000
20170214,ANET,739722.10000000
20170214,MAR,2178868.56666667
20170214,UIS,1004268.10000000
20170214,PG,9551841.76666667
20170214,SHW,932684.53333333
20170214,AAL,6992106.73333333
20170214,NVDA,17559951.53333334
20170214,Q,1185330.86666667
20170214,PNC,2677818.20000000
20170214,EOG,3113118.53333333
20170214,JCI,6350704.16666667
20170214,RDC,2612102.60000000
20170214,AEE,1123838.16666667
20170214,XEC,1046260.06666667
20170214,UAA,6843767.16666667
20170214,EVHC,1052755.96666667
20170214,RMD,982527.10000000
20170214,UNP,4035510.46666667
20170214,CTXS,2377234.63333333
20170214,MNK,2473332.53333333
20170214,MCHP,4129230.80000000
20170214,CELG,4373083.20000000
20170214,NUE,3568670.56666667
20170214,CHD,2264771.56666667
20170214,HPE,8729122.93333333
20170214,KMB,1981707.46666667
20170214,NE,12052508.46666667
20170214,BA,3539061.83333333
20170214,EIX,1562545.43333333
20170214,STI,3379860.76666667
20170214,WOR,600203.86666667
20170214,GE,31157371.30000000
20170214,GOOGL,1729944.90000000
20170214,WPX,9367910.33333333
20170214,TIF,1834840.20000000
20170214,DLTR,2563830.36666667
20170214,JCP,22651886.36666667
20170214,MBI,1306491.20000000
20170214,TSN,2859856.06666667
20170214,ITW,1287145.90000000
20170214,DNB,355195.36666667
20170214,PEG,2118023.03333333
20170214,GIS,2490357.73333333
20170214,ROL,497129.43333333
20170214,MS,11443307.70000000
20170214,TGT,6282134.43333333
20170214,USB,6644304.60000000
20170214,WFT,25300720.16666667
20170214,EBIX,176556.13333333
20170214,ESS,387249.36666667
20170214,LDOS,827578.46666667
20170214,PNR,1124370.20000000
20170214,EW,2258288.03333333
20170214,RAI,9990308.56666667
20170214,ANF,3141960.06666667
20170214,ZION,2416806.96666667
20170214,TXT,2187564.53333333
20170214,EXPD,1218224.90000000
20170214,MMM,1952289.76666667
20170214,LLY,4338026.80000000
20170214,GNW,8995898.03333333
20170214,TRIP,1881504.40000000
20170214,IVZ,3364937.70000000
20170214,RL,2325480.16666667
20170214,L,805064.20000000
20170214,RCL,1885260.56666667
20170214,UPS,3453340.63333333
20170214,FIS,1884328.53333333
20170214,MNST,2401277.66666667
20170214,FAST,2725003.33333333
20170214,V,8693303.13333333
20170214,SEE,1835398.70000000
20170214,ENDP,7479643.53333333
20170214,MCD,3561299.26666667
20170214,LEE,114894.76666667
20170214,MON,1739115.16666667
20170214,EQIX,429005.26666667
20170214,DDR,2616227.80000000
20170214,HRL,2349251.96666667
20170214,HUM,1795638.30000000
20170214,UHS,739636.03333333
20170214,CXO,1301930.16666667
20170214,LVLT,2112857.16666667
20170214,ITT,627796.96666667
20170214,FLR,1109338.46666667
20170214,SNV,792268.86666667
20170214,EL,2139705.23333333
20170214,WM,1523601.50000000
20170214,LUV,5691350.90000000
20170214,AMBC,266038.76666667
20170214,BGG,348944.10000000
20170214,AVY,855170.43333333
20170214,DVA,1228732.30000000
20170214,IAC,788882.00000000
20170214,JBL,1506261.40000000
20170214,VRSK,493457.73333333
20170214,NWL,4697409.06666667
20170214,HST,10117831.96666667
20170214,CAH,2409160.16666667
20170214,ADBE,2348213.56666667
20170214,HP,1900879.86666667
20170214,GOLD,1011956.26666667
20170214,MRO,9895682.93333333
20170214,DLPH,2175923.83333333
20170214,BDX,1058279.00000000
20170214,BMS,843637.70000000
20170214,WHR,901629.43333333
20170214,GHC,23011.86666667
20170214,ASH,498292.60000000
20170214,FANG,1293301.13333333
20170214,UTX,3073003.03333333
20170214,AWK,886825.76666667
20170214,STZ,2355895.36666667
20170214,PTC,1341401.00000000
20170214,NEE,1693642.23333333
20170214,JNS,1540388.40000000
20170214,APA,3252288.13333333
20170214,NDAQ,772352.70000000
20170214,CIK,109688.06666667
20170214,BBBY,2023499.86666667
20170214,FII,815743.53333333
20170214,TRCO,967922.50000000
20170214,PAYX,1793766.40000000
