date,ticker,adv30Days
20161207,VFC,2823649.43333333
20161207,GHC,28204.00000000
20161207,CPN,5368581.43333333
20161207,ROK,1010075.33333333
20161207,RLH,62205.03333333
20161207,FITB,8183458.23333333
20161207,SYY,4233164.23333333
20161207,AJG,1049964.26666667
20161207,LW,
20161207,APA,3772758.00000000
20161207,REG,1033103.06666667
20161207,KSU,2272567.00000000
20161207,LVLT,6012642.80000000
20161207,JWN,3857167.80000000
20161207,CIT,2325345.20000000
20161207,SJM,839296.46666667
20161207,GILD,10061031.30000000
20161207,HRL,3298026.53333333
20161207,L,1197143.53333333
20161207,BLK,727585.43333333
20161207,AAP,1344341.60000000
20161207,AAL,7082575.63333333
20161207,DLTR,3115709.60000000
20161207,AEP,3138462.33333333
20161207,SIG,1512399.16666667
20161207,X,21260958.90000000
20161207,CHK,55162696.76666667
20161207,NAVI,3861638.20000000
20161207,PFG,2035359.46666667
20161207,BMS,866173.03333333
20161207,V,11537811.00000000
20161207,SPG,1619572.10000000
20161207,BR,643724.63333333
20161207,UAL,4798499.80000000
20161207,ACN,2414504.73333333
20161207,MA,4609169.43333333
20161207,UNM,2226175.90000000
20161207,MGM,7858030.30000000
20161207,TAP,2034406.66666667
20161207,ABBV,9764723.16666667
20161207,SEE,2119118.50000000
20161207,MTG,5110514.83333333
20161207,FBHS,1547423.83333333
20161207,MAR,3423439.26666667
20161207,FCPT,429283.20000000
20161207,FFIV,1005996.56666667
20161207,AMP,1515243.36666667
20161207,XOM,11445985.46666667
20161207,NEM,8663424.76666667
20161207,DRE,3156271.53333333
20161207,CBOE,1028020.06666667
20161207,SPGI,1768118.10000000
20161207,HRB,2890658.63333333
20161207,WRK,1674033.66666667
20161207,CAG,3745137.26666667
20161207,QEP,4159815.86666667
20161207,CIEN,2464523.56666667
20161207,PSX,2660678.03333333
20161207,SNV,919559.93333333
20161207,WAT,675912.13333333
20161207,CVG,761939.86666667
20161207,BMY,11818706.33333333
20161207,EFX,1119646.30000000
20161207,ADP,2262606.50000000
20161207,AEE,1618229.50000000
20161207,TXT,1499994.40000000
20161207,LB,2642450.60000000
20161207,MJN,2422558.70000000
20161207,WMT,9157827.56666667
20161207,TSN,4994831.06666667
20161207,CME,2091490.73333333
20161207,FIS,1807814.66666667
20161207,DHI,5135742.40000000
20161207,CBG,3226070.50000000
20161207,ATVI,11168359.23333333
20161207,JCI,6392286.16666667
20161207,LYB,3386446.20000000
20161207,LDOS,1725636.66666667
20161207,NOV,4280780.36666667
20161207,GE,33775376.16666666
20161207,JKHY,444008.93333333
20161207,AIV,1605122.86666667
20161207,COH,3600682.93333333
20161207,SHW,1048606.93333333
20161207,XEL,3017486.83333333
20161207,ITI,34088.50000000
20161207,NTRS,1624114.46666667
20161207,AMT,3387409.66666667
20161207,HSIC,1120140.10000000
20161207,CTSH,8196409.26666667
20161207,PG,9396159.50000000
20161207,WPX,8757523.50000000
20161207,EMN,1610700.26666667
20161207,ARE,608950.53333333
20161207,THC,4207416.43333333
20161207,PCLN,531106.36666667
20161207,URBN,3545163.33333333
20161207,FII,1431606.70000000
20161207,KLAC,1877016.70000000
20161207,GLW,8326195.70000000
20161207,ILMN,1499362.16666667
20161207,FDC,6221422.16666667
20161207,TEX,1352889.40000000
20161207,UNH,4432189.46666667
20161207,MAC,974234.76666667
20161207,OKE,1971388.60000000
20161207,PCG,2544690.90000000
20161207,QCP,
20161207,CCE,2289371.33333333
20161207,MAA,1885471.83333333
20161207,DLX,358083.70000000
20161207,HP,2102457.53333333
20161207,D,2885819.33333333
20161207,HPE,12666739.26666667
20161207,CPRT,667871.10000000
20161207,XYL,1624565.70000000
20161207,SO,6126857.40000000
20161207,BIIB,1800860.36666667
20161207,RMD,1061282.96666667
20161207,PFE,32381473.60000000
20161207,NYT,728499.73333333
20161207,UTX,3370880.80000000
20161207,NVDA,14277869.03333333
20161207,SYK,1933936.40000000
20161207,WHR,955159.06666667
20161207,ITT,756486.00000000
20161207,CFG,7350507.90000000
20161207,CBS,4487072.23333333
20161207,FDX,1551574.40000000
20161207,ALL,2851970.53333333
20161207,KSS,4380083.60000000
20161207,PNC,3654089.13333333
20161207,PXD,1924741.90000000
20161207,EL,2189479.83333333
20161207,WDC,5162787.46666667
20161207,MTB,1198410.80000000
20161207,WM,2128280.96666667
20161207,CSC,2189135.33333333
20161207,CAH,4214031.40000000
20161207,SRCL,1406914.40000000
20161207,KBH,2320370.76666667
20161207,PNR,1266965.83333333
20161207,DIS,8955666.50000000
20161207,T,25174971.00000000
20161207,GM,15976103.46666667
20161207,TMO,2350768.00000000
20161207,CA,2668044.60000000
20161207,MSI,1162745.13333333
20161207,CERN,4483262.96666667
20161207,XL,2388926.53333333
20161207,SIVB,580075.16666667
20161207,MHK,839345.03333333
20161207,PNW,846575.80000000
20161207,FE,4687974.53333333
20161207,MSFT,28864901.90000000
20161207,M,6569781.13333333
20161207,VTR,2528543.76666667
20161207,CSCO,25978591.93333333
20161207,DDS,620647.96666667
20161207,MKC,674878.93333333
20161207,EMR,4421451.96666667
20161207,PGR,2898212.76666667
20161207,TJX,3658678.33333333
20161207,RHI,1843150.83333333
20161207,NKTR,1853544.06666667
20161207,HST,12089751.50000000
20161207,KMB,2018859.10000000
20161207,RCL,2274099.93333333
20161207,MTD,215064.93333333
20161207,IRM,1666152.90000000
20161207,VZ,15441728.60000000
20161207,AMGN,5075507.46666667
20161207,YUMC,
20161207,COO,576828.73333333
20161207,DAL,9810360.36666667
20161207,UPS,2849785.50000000
20161207,FHN,2163436.33333333
20161207,CIK,100785.40000000
20161207,CF,6612271.40000000
20161207,AMD,49096622.10000000
20161207,OMC,1832375.40000000
20161207,ED,1873050.66666667
20161207,SYF,7809780.50000000
20161207,EBIX,276888.36666667
20161207,GNW,9829591.03333333
20161207,YUM,4133193.70000000
20161207,AIG,7297414.70000000
20161207,TUP,580408.03333333
20161207,CSX,10157220.03333333
20161207,CHTR,2303037.00000000
20161207,DE,4056724.40000000
20161207,CMCSA,12949285.16666667
20161207,GGP,4653533.70000000
20161207,JCP,17842699.40000000
20161207,GFI,6434695.50000000
20161207,NCR,1171553.00000000
20161207,NEE,3240425.03333333
20161207,VRSN,835537.26666667
20161207,HPQ,13656547.90000000
20161207,GIS,3068976.73333333
20161207,FCX,38235201.36666667
20161207,BBT,6281602.40000000
20161207,DHR,3513893.23333333
20161207,ROP,794023.03333333
20161207,IR,2578224.16666667
20161207,UIS,1109679.56666667
20161207,ROL,448208.63333333
20161207,HRS,883004.63333333
20161207,ECL,1003240.46666667
20161207,COTY,8430288.43333333
20161207,PVH,1113355.76666667
20161207,ALXN,3167301.53333333
20161207,WEC,2058887.43333333
20161207,MET,7312228.83333333
20161207,CNC,2480178.26666667
20161207,QCOM,10719902.30000000
20161207,SRE,1616988.56666667
20161207,SPLS,8379972.10000000
20161207,AVB,909174.03333333
20161207,GME,3018637.10000000
20161207,EIX,1635170.96666667
20161207,MTW,2377748.00000000
20161207,SYMC,10579346.90000000
20161207,FISV,1473217.80000000
20161207,ZBH,2662992.96666667
20161207,PCH,327615.70000000
20161207,KEY,18438315.06666667
20161207,APOL,581378.10000000
20161207,WR,744411.96666667
20161207,ORCL,12739241.36666667
20161207,BBBY,1992015.33333333
20161207,AXP,4566341.23333333
20161207,TMUS,4445461.56666667
20161207,ETR,1657483.83333333
20161207,WFC,30791700.86666667
20161207,BA,3901670.96666667
20161207,IDXX,611607.80000000
20161207,AIZ,517062.26666667
20161207,NBR,7537613.83333333
20161207,ANF,3628529.00000000
20161207,ATI,2711410.03333333
20161207,KATE,3604712.33333333
20161207,TXN,6052931.63333333
20161207,ACAS,1677518.56666667
20161207,ADS,622128.33333333
20161207,TFX,577394.03333333
20161207,DOV,1855747.63333333
20161207,SBUX,10654515.50000000
20161207,NAV,719456.96666667
20161207,RSG,1512967.16666667
20161207,LPX,1957446.10000000
20161207,BDX,1410999.03333333
20161207,CPB,2322410.10000000
20161207,AET,3432849.50000000
20161207,TMK,590509.56666667
20161207,EW,3208885.06666667
20161207,TSCO,1764374.13333333
20161207,COST,2411497.90000000
20161207,NE,13117677.00000000
20161207,CMS,2043704.56666667
20161207,STJ,2072653.16666667
20161207,TER,2444143.16666667
20161207,ALB,1047644.00000000
20161207,WYNN,2949670.63333333
20161207,HFC,4046828.16666667
20161207,NGVT,288693.76666667
20161207,ESRX,4550666.93333333
20161207,JNS,1560365.90000000
20161207,RJF,906378.90000000
20161207,FMC,1198844.13333333
20161207,CTXS,1133299.76666667
20161207,SLG,995449.33333333
20161207,DVA,2551121.46666667
20161207,LLY,7298257.90000000
20161207,BSX,10363199.03333333
20161207,BEN,3706497.90000000
20161207,TDG,699053.66666667
20161207,NCLH,1940385.83333333
20161207,IBM,3623625.46666667
20161207,CI,1457242.93333333
20161207,HIG,2655307.20000000
20161207,PRU,3004768.43333333
20161207,HSY,1401648.16666667
20161207,AVP,6145456.90000000
20161207,PIR,2096445.13333333
20161207,EXR,984529.26666667
20161207,MCO,1073430.36666667
20161207,FLS,1524623.06666667
20161207,PBI,2903873.70000000
20161207,FSLR,4515862.50000000
20161207,MRK,11311891.56666667
20161207,AMBC,322619.50000000
20161207,BAC,140360982.93333334
20161207,PDCO,2376096.60000000
20161207,HCP,4673403.13333333
20161207,FLR,2284605.16666667
20161207,DAN,2157392.96666667
20161207,KO,14910435.26666667
20161207,ES,1694954.83333333
20161207,R,848220.56666667
20161207,FANG,1480352.36666667
20161207,KHC,3628992.33333333
20161207,MYL,6490163.96666667
20161207,COF,4368507.96666667
20161207,IAC,597990.80000000
20161207,HII,565732.13333333
