date,ticker,adv30Days
20090529,DOV,1971623.33333333
20090529,EMR,5600730.00000000
20090529,UNP,5978536.66666667
20090529,WR,904640.00000000
20090529,ZMH,2359466.66666667
20090529,SLE,6013733.33333333
20090529,LO,2262336.66666667
20090529,MTB,2278046.66666667
20090529,KIM,12435430.00000000
20090529,CRM,2313306.66666667
20090529,AET,6772463.33333333
20090529,APC,8112373.33333333
20090529,CEG,2075496.66666667
20090529,USB,40743043.33333334
20090529,TYC,6386593.33333333
20090529,O,2731346.66666667
20090529,COF,26868136.66666667
20090529,NFX,2486270.00000000
20090529,ALGN,750689.43333333
20090529,AWK,471913.33333333
20090529,AEP,5313100.00000000
20090529,MYL,8895650.23333333
20090529,AYE,3480420.00000000
20090529,KSS,6005980.00000000
20090529,DO,2279003.33333333
20090529,ALXN,1333439.40000000
20090529,UN,3051666.66666667
20090529,IDXX,560950.03333333
20090529,MWV,2119590.00000000
20090529,STT,15056040.00000000
20090529,CME,1774373.63333333
20090529,A,3037863.33333333
20090529,,
20090529,MSFT,64077919.56666667
20090529,GPS,11421926.66666667
20090529,MAR,7421926.66666667
20090529,PCAR,5360938.16666667
20090529,FDX,3534280.00000000
20090529,WPI,1726986.66666667
20090529,WINN,527374.60000000
20090529,WCG,929193.33333333
20090529,MET,12223946.66666667
20090529,NWL,7251816.66666667
20090529,TDG,563163.33333333
20090529,URI,1139016.66666667
20090529,PALM,7402436.73333333
20090529,RJF,1932013.33333333
20090529,DPS,2421580.00000000
20090529,ADBE,7734845.73333333
20090529,AMD,19486310.00000000
20090529,ROP,817156.66666667
20090529,AZO,1195350.00000000
20090529,IVZ,6745446.66666667
20090529,NFLX,2256035.76666667
20090529,AJG,1351640.00000000
20090529,HON,7430450.00000000
20090529,JWN,6714090.00000000
20090529,ALB,775093.33333333
20090529,TE,2334683.33333333
20090529,RMD,755773.33333333
20090529,WFT,16968913.33333333
20090529,MDT,8373250.00000000
20090529,MWW,2766793.33333333
20090529,GT,7128473.33333333
20090529,MA,3456776.66666667
20090529,JOYG,3809809.93333333
20090529,LLTC,5854937.86666667
20090529,STZ,2225766.66666667
20090529,LEN,7642283.33333333
20090529,CLX,1985960.00000000
20090529,HAR,1289236.66666667
20090529,MCD,10099350.00000000
20090529,MMM,5046590.00000000
20090529,RDC,4342900.00000000
20090529,WAT,1332143.33333333
20090529,WYE,11776873.33333333
20090529,NDAQ,4597617.03333333
20090529,FAST,1810725.03333333
20090529,HBAN,33758604.13333333
20090529,PNW,1274936.66666667
20090529,GOLD,1486803.93333333
20090529,GOOG,3514267.63333333
20090529,SNI,870323.33333333
20090529,NAV,841540.00000000
20090529,OKE,820073.33333333
20090529,BRCM,13510933.20000000
20090529,CMCSA,23657871.53333334
20090529,MEE,9021880.00000000
20090529,DGX,1447990.00000000
20090529,AIG,114432696.66666667
20090529,TMK,2109200.00000000
20090529,EMN,1517473.33333333
20090529,AMGN,8194634.80000000
20090529,LOW,17970326.66666667
20090529,WYNN,4165442.73333333
20090529,ITI,89246.66666667
20090529,WSH,1299546.66666667
20090529,WYN,6134510.00000000
20090529,NYT,1331840.00000000
20090529,K,2267390.00000000
20090529,SHW,1790540.00000000
20090529,UHS,1223586.66666667
20090529,CA,6196107.86666667
20090529,IRM,1693940.00000000
20090529,EXR,1524690.00000000
20090529,KG,6243593.33333333
20090529,LUK,2371710.00000000
20090529,PRGO,1157041.13333333
20090529,OI,3638886.66666667
20090529,TCX,24453.33333333
20090529,STI,19535526.66666667
20090529,WAG,7308483.33333333
20090529,ATI,2594926.66666667
20090529,BIIB,3093453.03333333
20090529,WFMI,3583108.33333333
20090529,HD,20620940.00000000
20090529,BR,1460170.00000000
20090529,JNS,4730700.00000000
20090529,VLO,10157370.00000000
20090529,GR,1598446.66666667
20090529,CIEN,4214210.46666667
20090529,ETN,2423590.00000000
20090529,DDR,6906970.00000000
20090529,RF,66759820.00000000
20090529,JNJ,13629276.66666667
20090529,PCP,1689693.33333333
20090529,NAVI,118353.30000000
20090529,BC,1795330.00000000
20090529,JKHY,636792.00000000
20090529,HIG,26535253.33333333
20090529,ABMD,390696.13333333
20090529,BVSN,4987.50000000
20090529,D,3409823.33333333
20090529,EL,2573530.00000000
20090529,CPB,2879350.00000000
20090529,TSCO,694615.40000000
20090529,AIV,5234130.00000000
20090529,SBAC,2836735.86666667
20090529,RHI,2273560.00000000
20090529,SIVB,722022.56666667
20090529,ACF,1972580.00000000
20090529,NU,2011030.00000000
20090529,AVY,1142496.66666667
20090529,T,30263470.00000000
20090529,DISH,5206659.86666667
20090529,PMCS,6793466.20000000
20090529,WIN,3653596.66666667
20090529,CEPH,2561059.73333333
20090529,VFC,1530083.33333333
20090529,ARG,918343.33333333
20090529,DNB,636063.33333333
20090529,FISV,2388147.23333333
20090529,AOC,5111523.33333333
20090529,ICE,2574463.33333333
20090529,ALK,974630.00000000
20090529,L,3879883.33333333
20090529,MU,21488803.33333333
20090529,ROST,3412015.46666667
20090529,ALL,8539226.66666667
20090529,ITT,1540056.66666667
20090529,FSLR,3713300.86666667
20090529,SWK,1127696.66666667
20090529,CSX,9098690.00000000
20090529,DRE,7730213.33333333
20090529,SRCL,1084341.00000000
20090529,MLM,568386.66666667
20090529,PM,9222620.00000000
20090529,AYI,614633.33333333
20090529,MHP,3045576.66666667
20090529,CERN,1567545.40000000
20090529,JCP,7797486.66666667
20090529,BBT,17279203.33333333
20090529,BBY,7789233.33333333
20090529,NBR,9674103.33333333
20090529,TWX,13689706.66666667
20090529,LEE,860190.00000000
20090529,SWKS,4607059.93333333
20090529,PTV,2714420.00000000
20090529,DUK,8991870.00000000
20090529,GME,5197683.33333333
20090529,PBI,2365170.00000000
20090529,PBCT,5806085.03333333
20090529,FO,1889566.66666667
20090529,LLL,1010323.33333333
20090529,EMC,26438083.33333333
20090529,SNS,322226.66666667
20090529,VIA,4309696.66666667
20090529,ORCL,34864750.56666667
20090529,HRL,658853.33333333
20090529,TIE,4049666.66666667
20090529,MCK,3509436.66666667
20090529,RRD,3352450.00000000
20090529,ROK,2191800.00000000
20090529,ACS,805036.66666667
20090529,CTXS,3918527.23333333
20090529,CAG,4038870.00000000
20090529,ODP,10220106.66666667
20090529,JCI,8517966.66666667
20090529,SJM,1052510.00000000
20090529,OMX,1739040.00000000
20090529,PEG,2996156.66666667
20090529,EQIX,1098758.83333333
20090529,AOS,381150.00000000
20090529,PCS,2333453.33333333
20090529,CBG,8723576.66666667
20090529,THC,12679466.66666667
20090529,WY,2513270.00000000
20090529,MO,15771186.66666667
20090529,NTRS,5512264.93333333
20090529,CPN,5018916.66666667
20090529,SEE,1892123.33333333
20090529,SYK,2524183.33333333
20090529,PMTC,1303940.86666667
20090529,DDS,979143.33333333
20090529,CAT,14607343.33333333
20090529,MAS,6132270.00000000
20090529,DYN,11038440.00000000
20090529,BA,6539260.00000000
20090529,EW,596830.00000000
20090529,HOT,6597970.00000000
20090529,TSS,2183166.66666667
20090529,WPO,49423.33333333
20090529,CSCO,54673182.20000000
20090529,PCLN,1643913.36666667
20090529,GILD,8718396.66666667
20090529,WFC,163299363.33333334
20090529,FFIV,2129136.96666667
20090529,XRAY,1807251.63333333
20090529,CINF,1699400.40000000
20090529,TSN,4919046.66666667
20090529,AMSG,217192.00000000
20090529,ACAS,6218449.30000000
20090529,AMZN,8464552.23333333
20090529,XEL,3235730.00000000
20090529,MTG,5289940.00000000
20090529,HSY,1542890.00000000
20090529,SBUX,15696272.60000000
20090529,INCY,979492.80000000
20090529,SSP,288390.00000000
20090529,IR,6510390.00000000
20090529,PDCO,1987020.93333333
20090529,COG,1910630.00000000
20090529,SWN,5396456.66666667
20090529,RE,879650.00000000
20090529,FRX,2443523.33333333
20090529,GIS,3298973.33333333
20090529,AMCC,795852.80000000
20090529,HOG,5276540.00000000
20090529,MOT,22863100.00000000
20090529,TKR,1101686.66666667
20090529,LKQX,1014223.06666667
20090529,REGN,579768.63333333
20090529,CNC,382403.33333333
20090529,MDP,834593.33333333
20090529,MDR,3651066.66666667
20090529,PPG,1801413.33333333
20090529,KMB,2608233.33333333
20090529,DLR,2621290.00000000
20090529,BLL,1446310.00000000
20090529,YUM,5713026.66666667
20090529,AAPL,18586336.83333333
20090529,FII,1500336.66666667
20090529,COV,4636723.33333333
20090529,CLF,7326266.66666667
20090529,TGT,11566583.33333333
20090529,PBG,3602423.33333333
20090529,ORLY,2244563.50000000
20090529,URBN,5208294.30000000
20090529,AAP,2015856.66666667
20090529,CTSH,5881772.33333333
20090529,DISCA,2042522.93333333
20090529,TJX,7687003.33333333
20090529,ULTA,216783.76666667
20090529,SYMC,18962516.20000000
20090529,NOVL,3432723.90000000
20090529,FOH,6893.33333333
20090529,BDK,2284056.66666667
20090529,KR,6727590.00000000
20090529,DD,9702766.66666667
20090529,MMC,6642823.33333333
20090529,KFT,10606873.33333333
20090529,AIZ,2188840.00000000
20090529,LTD,5121050.00000000
20090529,EXPD,3035250.70000000
20090529,LM,4170666.66666667
20090529,LB,30896.66666667
20090529,CELG,5600561.93333333
20090529,AMP,4141380.00000000
20090529,HP,2835840.00000000
20090529,TXT,9076943.33333333
20090529,NBL,2298976.66666667
20090529,TSO,6651193.33333333
20090529,DF,3944756.66666667
20090529,MXM,343.33333333
20090529,AKS,9529986.66666667
20090529,MON,6696956.66666667
20090529,ESV,3920426.66666667
20090529,CTL,1894740.00000000
20090529,TAP,1744706.66666667
20090529,DAL,15814496.66666667
20090529,KO,13669846.66666667
20090529,ADP,4340858.56666667
20090529,SANM,3536024.46666667
20090529,ECL,1901383.33333333
20090529,AVP,5475763.33333333
20090529,IPGP,240829.66666667
20090529,IACI,1993763.46666667
20090529,MCHP,4983105.50000000
20090529,TFX,431390.00000000
20090529,HES,4837000.00000000
20090529,WLP,4661163.33333333
20090529,TNB,712383.33333333
20090529,ITW,3817126.66666667
20090529,UNM,6350696.66666667
20090529,CHP,146776.66666667
20090529,PFE,60527590.00000000
20090529,MKC,922370.00000000
20090529,PH,2713370.00000000
20090529,LRCX,3431986.66666667
20090529,PPL,2482140.00000000
20090529,FTI,1428786.66666667
20090529,MAT,3811106.66666667
20090529,XL,9106043.33333333
20090529,ADM,6491780.00000000
