date,ticker,volume
20180320,A,2379124.00000000
20180320,AA,1515361.00000000
20180320,AABA,4351841.00000000
20180320,AAL,2554606.00000000
20180320,AAP,636041.00000000
20180320,AAPL,19650550.00000000
20180320,ABBV,4933785.00000000
20180320,ABC,2602351.00000000
20180320,ABMD,538244.00000000
20180320,ABT,3943042.00000000
20180320,ACN,2249443.00000000
20180320,ADBE,5018194.00000000
20180320,ADI,1763746.00000000
20180320,ADM,2133722.00000000
20180320,ADNT,438999.00000000
20180320,ADP,1959935.00000000
20180320,ADS,489372.00000000
20180320,ADSK,1760378.00000000
20180320,AEE,975785.00000000
20180320,AEP,2496436.00000000
20180320,AES,6359660.00000000
20180320,AET,1801710.00000000
20180320,AFL,4794304.00000000
20180320,AGN,4023415.00000000
20180320,AIG,9030109.00000000
20180320,AIV,1521180.00000000
20180320,AIZ,668915.00000000
20180320,AJG,750268.00000000
20180320,AKAM,1288573.00000000
20180320,AKS,14965382.00000000
20180320,ALB,3660049.00000000
20180320,ALGN,542791.00000000
20180320,ALK,1003364.00000000
20180320,ALL,1441277.00000000
20180320,ALLE,373662.00000000
20180320,ALXN,2014538.00000000
20180320,AMAT,8526325.00000000
20180320,AMBC,283079.00000000
20180320,AMD,65097119.00000000
20180320,AME,982687.00000000
20180320,AMG,513214.00000000
20180320,AMGN,2582201.00000000
20180320,AMP,912891.00000000
20180320,AMT,2491059.00000000
20180320,AMZN,4580073.00000000
20180320,AN,1321381.00000000
20180320,ANDV,1748039.00000000
20180320,ANET,1148682.00000000
20180320,ANF,1858877.00000000
20180320,ANSS,605784.00000000
20180320,ANTM,1326075.00000000
20180320,AON,862642.00000000
20180320,AOS,551020.00000000
20180320,APA,4881028.00000000
20180320,APC,4343205.00000000
20180320,APD,806772.00000000
20180320,APH,857031.00000000
20180320,APTV,1456332.00000000
20180320,ARE,621297.00000000
20180320,ARNC,4765984.00000000
20180320,ASH,2016071.00000000
20180320,ASIX,450639.00000000
20180320,ATGE,433749.00000000
20180320,ATI,2305443.00000000
20180320,ATUS,2039321.00000000
20180320,ATVI,3994453.00000000
20180320,AVB,1096659.00000000
20180320,AVGO,6188368.00000000
20180320,AVP,6034328.00000000
20180320,AVY,1169216.00000000
20180320,AWK,645376.00000000
20180320,AXP,2501623.00000000
20180320,AYI,414916.00000000
20180320,AZO,361446.00000000
20180320,BA,6500507.00000000
20180320,BAC,44784462.00000000
20180320,BAX,1837362.00000000
20180320,BBBY,2595315.00000000
20180320,BBT,3209139.00000000
20180320,BBY,3979405.00000000
20180320,BC,516030.00000000
20180320,BDX,716451.00000000
20180320,BEN,2545956.00000000
20180320,BGG,145781.00000000
20180320,BH,2171.00000000
20180320,BHF,581050.00000000
20180320,BHGE,5588538.00000000
20180320,BIG,2148922.00000000
20180320,BIIB,1313354.00000000
20180320,BK,3676163.00000000
20180320,BKNG,256813.00000000
20180320,BLK,381157.00000000
20180320,BLL,2198255.00000000
20180320,BMS,781411.00000000
20180320,BMY,6307368.00000000
20180320,BR,1147763.00000000
20180320,BSX,3722704.00000000
20180320,BTU,1246110.00000000
20180320,BVSN,4441.00000000
20180320,BWA,1228060.00000000
20180320,BXP,678967.00000000
20180320,C,13113479.00000000
20180320,CA,2550853.00000000
20180320,CAG,2466269.00000000
20180320,CAH,7260587.00000000
20180320,CAR,4669324.00000000
20180320,CARS,651808.00000000
20180320,CAT,3557563.00000000
20180320,CB,1197173.00000000
20180320,CBOE,1166265.00000000
20180320,CBRE,1646496.00000000
20180320,CBS,2609335.00000000
20180320,CCE,1164059.00000000
20180320,CCI,3502856.00000000
20180320,CCL,4205003.00000000
20180320,CDNS,2958210.00000000
20180320,CE,1901327.00000000
20180320,CELG,8497314.00000000
20180320,CERN,3690067.00000000
20180320,CF,3274647.00000000
20180320,CFG,2063862.00000000
20180320,CHD,1338584.00000000
20180320,CHK,32384295.00000000
20180320,CHRW,715945.00000000
20180320,CHTR,1087884.00000000
20180320,CI,3868087.00000000
20180320,CIEN,2783702.00000000
20180320,CIK,156435.00000000
20180320,CINF,568716.00000000
20180320,CIT,563160.00000000
20180320,CL,2403268.00000000
20180320,CLF,11884853.00000000
20180320,CLX,643555.00000000
20180320,CMA,1351934.00000000
20180320,CMCSA,20891972.00000000
20180320,CME,964324.00000000
20180320,CMG,547990.00000000
20180320,CMI,1189224.00000000
20180320,CMS,2114727.00000000
20180320,CMT,17086.00000000
20180320,CNC,1434669.00000000
20180320,CNDT,1463310.00000000
20180320,CNO,701807.00000000
20180320,CNP,7629550.00000000
20180320,CNX,3694891.00000000
20180320,COF,1270892.00000000
20180320,COG,11275622.00000000
20180320,COL,1252067.00000000
20180320,COO,374583.00000000
20180320,COP,5140620.00000000
20180320,COST,1852528.00000000
20180320,COTY,3592163.00000000
20180320,CPB,2603965.00000000
20180320,CPRT,938264.00000000
20180320,CR,154026.00000000
20180320,CRM,7113554.00000000
20180320,CSCO,22807909.00000000
20180320,CSRA,7697143.00000000
20180320,CSX,3593823.00000000
20180320,CTAS,443996.00000000
20180320,CTB,554553.00000000
20180320,CTL,10740740.00000000
20180320,CTSH,3129042.00000000
20180320,CTXS,1131861.00000000
20180320,CVG,565403.00000000
20180320,CVS,9700642.00000000
20180320,CVX,4587249.00000000
20180320,CXO,889540.00000000
20180320,CZR,9657481.00000000
20180320,D,5464837.00000000
20180320,DAL,4363513.00000000
20180320,DAN,1320610.00000000
20180320,DDR,5192534.00000000
20180320,DDS,275055.00000000
20180320,DE,1499440.00000000
20180320,DF,1902953.00000000
20180320,DFS,2218058.00000000
