date,ticker,adv30Days
20031211,CAP,3336.66666667
20031211,GPC,368989.13333333
20031211,OXY,1238926.76666667
20031211,NCC,1563327.30000000
20031211,ILMN,466020.16666667
20031211,NTAP,6537040.46666667
20031211,MTG,785395.86666667
20031211,NBR,1504152.36666667
20031211,SPG,629134.80000000
20031211,REGN,363820.53333333
20031211,VAR,515339.46666667
20031211,SRE,922080.06666667
20031211,FOSL,219302.30000000
20031211,NTRS,851722.70000000
20031211,GD,747669.53333333
20031211,NX,82625.23333333
20031211,KSE,397841.00000000
20031211,RDC,1623941.36666667
20031211,SCH,5231584.26666667
20031211,ALB,153349.10000000
20031211,NOC,909904.90000000
20031211,SRCL,420628.13333333
20031211,KEY,1457093.86666667
20031211,DAL,2734687.03333333
20031211,INCY,730451.93333333
20031211,KEYS,53027.20000000
20031211,TIE,11800.00000000
20031211,GOLD,481995.50000000
20031211,F,10931954.00000000
20031211,IMS,7843.33333333
20031211,LLTC,4418927.90000000
20031211,AES,2397096.76666667
20031211,UN,355701.36666667
20031211,EP,6439939.46666667
20031211,BLL,245273.90000000
20031211,NVDA,6910582.46666667
20031211,RE,309144.50000000
20031211,CHRW,557411.13333333
20031211,BCC,1285119.63333333
20031211,REG,169411.60000000
20031211,WXH,94530.23333333
20031211,SPLS,3736693.20000000
20031211,AVB,207733.33333333
20031211,KMI,628131.00000000
20031211,AKS,1505458.66666667
20031211,APD,1133386.50000000
20031211,SBUX,2775107.80000000
20031211,LNT,253532.83333333
20031211,COG,158398.66666667
20031211,EFX,419743.06666667
20031211,HIG,1469456.56666667
20031211,LXK,1010039.46666667
20031211,KRI,298134.86666667
20031211,MTB,227618.06666667
20031211,GPN,160279.20000000
20031211,SII,1198160.76666667
20031211,BTU,326410.50000000
20031211,FII,528681.36666667
20031211,WPI,1426173.90000000
20031211,TGT,3921467.13333333
20031211,ACE,1283104.40000000
20031211,BMC,2376878.30000000
20031211,FPL,761390.73333333
20031211,GDT,2006270.93333333
20031211,IDNX,431490.63333333
20031211,HCA,2180692.36666667
20031211,MET,1742085.13333333
20031211,GFI,2520256.70000000
20031211,TUP,337795.73333333
20031211,DELL,16212913.03333333
20031211,CTL,1031210.90000000
20031211,RHI,617907.96666667
20031211,NXL,266491.23333333
20031211,SPC,1953996.36666667
20031211,PETM,2213392.90000000
20031211,RHAT,3579378.13333333
20031211,FCX,2331833.43333333
20031211,EOP,1139699.36666667
20031211,AW,1184581.96666667
20031211,CA,3122073.76666667
20031211,FAST,561315.06666667
20031211,WMB,2643910.00000000
20031211,UCL,1030716.43333333
20031211,IFF,345278.40000000
20031211,RF,400178.30000000
20031211,SIGY,2342.06666667
20031211,ADI,3516114.16666667
20031211,SCG,344417.90000000
20031211,FDO,1322739.66666667
20031211,DG,1700852.93333333
20031211,GFR,13230.00000000
20031211,DLX,379338.23333333
20031211,LMT,2500480.53333333
20031211,IKN,667480.73333333
20031211,DHR,717643.90000000
20031211,THC,3486176.33333333
20031211,WYNN,510314.33333333
20031211,MBI,610010.23333333
20031211,CLF,202360.66666667
20031211,LDG,344985.10000000
20031211,CHK,2980091.06666667
20031211,RFMD,11790810.00000000
20031211,MTON,832203.00000000
20031211,EMN,669188.43333333
20031211,CPB,866554.36666667
20031211,PCL,589120.16666667
20031211,CB,850642.96666667
20031211,AYE,1168158.16666667
20031211,PFE,19570042.00000000
20031211,BLS,5055779.43333333
20031211,SVU,524770.00000000
20031211,HCBK,137299.60000000
20031211,FE,1332125.50000000
20031211,IDXX,223108.66666667
20031211,KO,4092920.70000000
20031211,ADPT,603979.16666667
20031211,AA,4515787.70000000
20031211,PCG,1931743.33333333
20031211,SUNW,50866181.66666666
20031211,PCH,140849.73333333
20031211,CD,4851008.00000000
20031211,FD,1863031.73333333
20031211,IP,2614930.50000000
20031211,COF,2185660.93333333
20031211,WY,1006404.66666667
20031211,BBY,4362663.90000000
20031211,MDP,150540.00000000
20031211,DUK,4736210.93333333
20031211,GILD,3907686.16666667
20031211,TIN,429511.36666667
20031211,CR,242198.63333333
20031211,IPG,2916224.26666667
20031211,VMC,310249.80000000
20031211,ACAS,801707.90000000
20031211,CIK,88886.30000000
20031211,XLNX,7128896.60000000
20031211,GLW,10247138.93333333
20031211,LUV,3124259.46666667
20031211,STZ,505680.16666667
20031211,HCP,282285.90000000
20031211,XRAY,385369.33333333
20031211,AYI,116511.20000000
20031211,ECL,743326.23333333
20031211,HCR,448543.36666667
20031211,ATVI,1691884.76666667
20031211,BLI,660301.10000000
20031211,SHW,587717.20000000
20031211,OMC,900058.80000000
20031211,ASN,472713.30000000
20031211,EXPD,800883.43333333
20031211,UTX,1765738.10000000
20031211,CMCSA,6757282.03333333
20031211,AMT,1479427.10000000
20031211,ADM,1954106.63333333
20031211,PGR,601762.96666667
20031211,EQR,789226.36666667
20031211,APC,1964543.93333333
20031211,STX,5179364.20000000
20031211,NSC,1559136.50000000
20031211,WMI,1830230.00000000
20031211,PWER,835819.30000000
20031211,PWR,885583.70000000
20031211,COST,4200500.40000000
20031211,MTD,120831.33333333
20031211,DFS,45057.53333333
20031211,SGP,7677361.16666667
20031211,ARG,244417.53333333
20031211,K,1144193.83333333
20031211,COL,383541.10000000
20031211,BK,2421070.43333333
20031211,ANF,2580314.53333333
20031211,KMX,1099459.80000000
20031211,LKQX,69891.50000000
20031211,PXD,733305.73333333
20031211,CNC,131195.36666667
20031211,ZMH,1007831.90000000
20031211,CIT,880445.36666667
20031211,BUTL,47772.80000000
20031211,ALK,259844.63333333
20031211,STT,1290734.06666667
20031211,GIS,1144233.76666667
