date,ticker
20131113,DTV.2
20131113,SE.7
20131113,AVB
20131113,RL
20131113,VAR
20131113,HCBK
20131113,WEC3
20131113,CHRW
20131113,HST
20131113,ANF
20131113,MDLZ
20131113,AIZ
20131113,PCP
20131113,DFS
20131113,AKAM
20131113,JEF
20131113,MCHP
20131113,ICE
20131113,ANDV
20131113,TDC
20131113,EXPE
20131113,NBL
20131113,EXPD
20131113,JEC
20131113,POM
20131113,AMT
20131113,GME
20131113,RRC
20131113,GHC
20131113,TSS
20131113,CAM
20131113,HCP
20131113,PM
20131113,ISRG
20131113,SWN
20131113,LO
20131113,COG
20131113,SNI
20131113,MA
20131113,DVA
20131113,IVZ
20131113,CF
20131113,FAST
20131113,CRM
20131113,HRS
20131113,PXD
20131113,APH
20131113,FLS
20131113,DPS
20131113,NDAQ
20131113,WEC
20131113,SJM
20131113,PBCT
20131113,XRAY
20131113,WYNN
20131113,SRCL
20131113,LIFE.3
20131113,DNB
20131113,RSG
20131113,EQT
20131113,FLIR
20131113,OI
20131113,SCG
20131113,IRM
20131113,WELL
20131113,DO
20131113,HRL
20131113,VTR
20131113,ES
20131113,ORLY
20131113,TWC
20131113,DNR
20131113,FTI.1
20131113,WDC
20131113,PWR
20131113,RHT
20131113,FMC
20131113,CFN
20131113,ARG
20131113,FSLR
20131113,BKNG
20131113,ROST
20131113,V
20131113,CLF
20131113,MJN
20131113,ROP
20131113,NRG
20131113,URBN
20131113,BRK.B
20131113,HP
20131113,DISCA
20131113,OKE
20131113,CERN
20131113,KMX
20131113,QEP
20131113,CB
20131113,TYC
20131113,IR
20131113,NFX
20131113,FFIV
20131113,NFLX
20131113,ATUS
20131113,NE
20131113,JOY
20131113,COV
20131113,EW
20131113,BLK
20131113,CMG
20131113,MPC
20131113,ACN
20131113,MOS
20131113,TEL
20131113,XYL
20131113,SO7
20131113,PRGO
20131113,BWA
20131113,DLTR
20131113,TRIP
20131113,WPX
20131113,CCI
20131113,FOSL
20131113,PSX
20131113,KMI
20131113,ALXN
20131113,LRCX
20131113,MNST
20131113,STX
20131113,ESV
20131113,LYB
20131113,PNR
20131113,ADT.4
20131113,KRFT
20131113,PETM
20131113,DG
20131113,GRMN
20131113,APTV
20131113,ABBV
20131113,PVH
20131113,REGN
20131113,MAC
20131113,KSU
20131113,GM
20131113,ZTS
20131113,NWSA
20131113,NLSN
20131113,DAL
20131113,AME
20131113,VRTX
20131113,RIG
20131113,CPRI
